"N"	"Accession"	"Gene_Symbol"	"Protein_Name"
"24"	14	"IPI:IPI00639937.1"	"CFB"	"B-factor, properdin"
"25"	15	"IPI:IPI00641737.1"	"HP"	"Haptoglobin precursor"
"26"	16	"IPI:IPI00847179.1"	"APOA4"	"apolipoprotein A-IV precursor"
"27"	17	"IPI:IPI00645038.1"	"ITIH2"	"Inter-alpha (Globulin) inhibitor H2"
"28"	17	"IPI:IPI00305461.2"	"ITIH2"	"Inter-alpha-trypsin inhibitor heavy chain H2 precursor"
"29"	18	"IPI:IPI00026314.1"	"GSN"	"Isoform 1 of Gelsolin precursor"
"30"	19	"IPI:IPI00292530.1"	"ITIH1"	"Inter-alpha-trypsin inhibitor heavy chain H1 precursor"
"31"	20	"IPI:IPI00877703.1"	"FGG"	"52 kDa protein"
"32"	20	"IPI:IPI00021891.5"	"FGG"	"Isoform Gamma-B of Fibrinogen gamma chain precursor"
"33"	20	"IPI:IPI00877792.1"	"FGG"	"50 kDa protein"
"34"	20	"IPI:IPI00219713.1"	"FGG"	"Isoform Gamma-A of Fibrinogen gamma chain precursor"
"35"	21	"IPI:IPI00019568.1"	"F2"	"Prothrombin precursor (Fragment)"
"36"	22	"IPI:IPI00742696.2"	"GC"	"vitamin D-binding protein precursor"
"37"	23	"IPI:IPI00550991.3"	"SERPINA3"	"Alpha-1-antichymotrypsin precursor"
"38"	23	"IPI:IPI00847635.1"	"SERPINA3"	"Isoform 1 of Alpha-1-antichymotrypsin precursor"
"39"	24	"IPI:IPI00472610.2"	"IGHM"	"IGHM protein"
"40"	25	"IPI:IPI00022434.4"	"ALB"	"Uncharacterized protein ALB"
"41"	25	"IPI:IPI00745872.2"	"ALB"	"Isoform 1 of Serum albumin precursor"
"42"	26	"IPI:IPI00296165.5"	"C1R;C17orf13;ACYP1"	"Complement C1r subcomponent precursor"
"43"	27	"IPI:IPI00032179.2"	"SERPINC1"	"Antithrombin III variant"
"44"	28	"IPI:IPI00009920.2"	"C6"	"Complement component 6 precursor"
"45"	29	"IPI:IPI00828205.1"	"IGHM"	"IGHM protein"
"46"	30	"IPI:IPI00296608.6"	"C7"	"Complement component C7 precursor"
"47"	31	"IPI:IPI00022431.1"	"AHSG"	"Alpha-2-HS-glycoprotein precursor"
"48"	32	"IPI:IPI00019943.1"	"AFM"	"Afamin precursor"
"49"	33	"IPI:IPI00017696.1"	"C1S"	"Complement C1s subcomponent precursor"
"50"	34	"IPI:IPI00292950.4"	"SERPIND1"	"Serpin peptidase inhibitor, clade D (Heparin cofactor), member 1"
"51"	34	"IPI:IPI00879573.1"	"SERPIND1"	"Heparin cofactor 2 precursor"
"52"	35	"IPI:IPI00745089.2"	"A1BG"	"alpha 1B-glycoprotein precursor"
"53"	35	"IPI:IPI00022895.7"	"A1BG"	"Alpha-1B-glycoprotein precursor"
"54"	36	"IPI:IPI00291866.5"	"SERPING1"	"Plasma protease C1 inhibitor precursor"
"55"	36	"IPI:IPI00879931.1"	"SERPING1"	"cDNA FLJ78023, highly similar to Homo sapiens serine (or cysteine) proteinase inhibitor, clade G (C1inhibitor), member 1, (angioedema, hereditary) (SERPING1), mRNA"
"56"	37	"IPI:IPI00022395.1"	"C9"	"Complement component C9 precursor"
"57"	38	"IPI:IPI00298971.1"	"VTN"	"Vitronectin precursor"
"58"	39	"IPI:IPI00291867.3"	"CFI"	"Complement factor I precursor"
"59"	39	"IPI:IPI00872555.2"	"CFI"	"cDNA FLJ76262, highly similar to Homo sapiens I factor (complement) (IF), mRNA"
"60"	40	"IPI:IPI00019581.1"	"F12"	"Coagulation factor XII precursor"
"61"	41	"IPI:IPI00294395.1"	"C8B"	"Complement component C8 beta chain precursor"
"62"	42	"IPI:IPI00022371.1"	"HRG"	"Histidine-rich glycoprotein precursor"
"63"	43	"IPI:IPI00784985.1"	"IGK@"	"IGK@ protein"
"64"	43	"IPI:IPI00761125.2"	"IGKC"	"IGKC protein"
"65"	44	"IPI:IPI00879231.1"	"SERPINF2"	"Alpha-2-antiplasmin precursor"
"66"	44	"IPI:IPI00029863.4"	"SERPINF2"	"SERPINF2 protein"
"67"	45	"IPI:IPI00328609.3"	"SERPINA4"	"Kallistatin precursor"
"68"	46	"IPI:IPI00645849.1"	"ECM1"	"Extracellular matrix protein 1"
"69"	46	"IPI:IPI00003351.2"	"ECM1"	"Extracellular matrix protein 1 precursor"
"70"	47	"IPI:IPI00303963.1"	"C2"	"Complement C2 precursor (Fragment)"
"71"	48	"IPI:IPI00654888.4"	"KLKB1"	"Plasma kallikrein precursor"
"72"	49	"IPI:IPI00400826.1"	"CLU"	"clusterin isoform 1"
"73"	49	"IPI:IPI00291262.3"	"CLU"	"Clusterin precursor"
"74"	49	"IPI:IPI00795633.1"	"CLU"	"CLU"
"75"	50	"IPI:IPI00022391.1"	"APCS"	"Serum amyloid P-component precursor"
"76"	51	"IPI:IPI00011252.1"	"C8A"	"Complement component C8 alpha chain precursor"
"77"	52	"IPI:IPI00844536.2"	"RBP4"	"Uncharacterized protein RBP4"
"78"	52	"IPI:IPI00480192.1"	"RBP4"	"Retinol binding protein 4, plasma"
"79"	52	"IPI:IPI00022420.3"	"RBP4"	"Plasma retinol-binding protein precursor"
"80"	53	"IPI:IPI00020996.3"	"IGFALS"	"Insulin-like growth factor-binding protein complex acid labile chain precursor"
"81"	54	"IPI:IPI00386879.1"	"IGHV3OR16-13;IGHA1"	"CDNA FLJ14473 fis, clone MAMMA1001080, highly similar to Homo sapiens SNC73 protein (SNC73) mRNA"
"82"	55	"IPI:IPI00298828.3"	"APOH"	"Beta-2-glycoprotein 1 precursor"
"83"	56	"IPI:IPI00021841.1"	"APOA1"	"Apolipoprotein A-I precursor"
"84"	57	"IPI:IPI00022426.1"	"AMBP"	"AMBP protein precursor"
"85"	58	"IPI:IPI00299503.2"	"GPLD1"	"Isoform 1 of Phosphatidylinositol-glycan-specific phospholipase D precursor"
"86"	59	"IPI:IPI00876950.1"	"ITIH3"	"Isoform 2 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor"
"87"	59	"IPI:IPI00028413.8"	"ITIH3"	"Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor"
"88"	59	"IPI:IPI00873416.1"	"ITIH3"	"Uncharacterized protein ITIH3"
"89"	60	"IPI:IPI00829626.1"	"IGL@"	"IGL@ protein"
"90"	60	"IPI:IPI00550162.2"	"IGLV3-25"	"IGLV3-25 protein"
"91"	61	"IPI:IPI00011261.2"	"C8G"	"Complement component C8 gamma chain precursor"
"92"	62	"IPI:IPI00006114.4"	"SERPINF1"	"Pigment epithelium-derived factor precursor"
"93"	63	"IPI:IPI00292946.1"	"SERPINA7"	"Thyroxine-binding globulin precursor"
"94"	64	"IPI:IPI00032220.3"	"AGT"	"Angiotensinogen precursor"
"95"	65	"IPI:IPI00394992.1"	"PGLYRP2"	"Isoform 2 of N-acetylmuramoyl-L-alanine amidase precursor"
"96"	65	"IPI:IPI00163207.1"	"PGLYRP2"	"Isoform 1 of N-acetylmuramoyl-L-alanine amidase precursor"
"97"	66	"IPI:IPI00027235.1"	"ATRN"	"Isoform 1 of Attractin precursor"
"98"	66	"IPI:IPI00162735.3"	"ATRN"	"Isoform 2 of Attractin precursor"
"99"	66	"IPI:IPI00218460.6"	"ATRN"	"Isoform 3 of Attractin precursor"
"100"	67	"IPI:IPI00009028.1"	"CLEC3B"	"Tetranectin precursor"
"101"	68	"IPI:IPI00021727.1"	"C4BPA"	"C4b-binding protein alpha chain precursor"
"102"	69	"IPI:IPI00873445.1"	"PROS1"	"80 kDa protein"
"103"	69	"IPI:IPI00294004.1"	"PROS1"	"Vitamin K-dependent protein S precursor"
"104"	70	"IPI:IPI00020986.2"	"LUM"	"Lumican precursor"
"105"	71	"IPI:IPI00022429.3"	"ORM1"	"Alpha-1-acid glycoprotein 1 precursor"
"106"	72	"IPI:IPI00010295.1"	"CPN1"	"Carboxypeptidase N catalytic chain precursor"
"107"	73	"IPI:IPI00004373.1"	"MBL2"	"Mannose-binding protein C precursor"
"108"	74	"IPI:IPI00784998.1"	"-"	"Putative uncharacterized protein DKFZp686M24218"
"109"	74	"IPI:IPI00830132.1"	"IGHG4"	"Uncharacterized protein IGHG4 (Fragment)"
"110"	74	"IPI:IPI00829814.1"	"IGHG4"	"Ig gamma-4 chain C region"
"111"	74	"IPI:IPI00550640.2"	"IGHG4"	"IGHG4 protein"
"112"	75	"IPI:IPI00215983.3"	"CA1"	"Carbonic anhydrase 1"
"113"	75	"IPI:IPI00796435.1"	"CA1"	"22 kDa protein"
"114"	76	"IPI:IPI00743766.2"	"FETUB"	"Fetuin-B precursor"
"115"	77	"IPI:IPI00021440.1"	"ACTG1;PSPHL"	"Actin, cytoplasmic 2"
"116"	77	"IPI:IPI00021439.1"	"ACTB"	"Actin, cytoplasmic 1"
"117"	77	"IPI:IPI00796881.1"	"ACTG1;PSPHL"	"16 kDa protein"
"118"	77	"IPI:IPI00790339.1"	"ACTG1;PSPHL"	"22 kDa protein"
"119"	78	"IPI:IPI00019576.1"	"F10"	"Coagulation factor X precursor"
"120"	79	"IPI:IPI00553177.1"	"SERPINA1"	"Isoform 1 of Alpha-1-antitrypsin precursor"
"121"	80	"IPI:IPI00796636.9"	"HBB"	"Mutant beta globin"
"122"	80	"IPI:IPI00884107.1"	"HBB"	"Beta-globin gene from a thalassemia patient"
"123"	80	"IPI:IPI00654755.3"	"HBB"	"Hemoglobin subunit beta"
"124"	81	"IPI:IPI00218949.1"	"CFHR2"	"Isoform Short of Complement factor H-related protein 2 precursor"
"125"	81	"IPI:IPI00006154.1"	"CFHR2"	"Isoform Long of Complement factor H-related protein 2 precursor"
"126"	82	"IPI:IPI00024825.2"	"PRG4"	"Isoform A of Proteoglycan-4 precursor"
"127"	82	"IPI:IPI00655927.1"	"PRG4"	"Isoform B of Proteoglycan-4 precursor"
"128"	82	"IPI:IPI00656111.1"	"PRG4"	"Isoform E of Proteoglycan-4 precursor"
"129"	82	"IPI:IPI00656092.1"	"PRG4"	"Isoform F of Proteoglycan-4 precursor"
"130"	82	"IPI:IPI00655976.1"	"PRG4"	"Isoform C of Proteoglycan-4 precursor"
"131"	82	"IPI:IPI00655676.1"	"PRG4"	"Isoform D of Proteoglycan-4 precursor"
"132"	83	"IPI:IPI00329775.7"	"CPB2"	"Isoform 1 of Carboxypeptidase B2 precursor"
"133"	84	"IPI:IPI00738433.1"	"CPN2"	"similar to Carboxypeptidase N subunit 2 precursor"
"134"	84	"IPI:IPI00479116.1"	"CPN2"	"Carboxypeptidase N subunit 2 precursor"
"135"	85	"IPI:IPI00788786.1"	"VWF"	"309 kDa protein"
"136"	85	"IPI:IPI00023014.1"	"VWF"	"von Willebrand factor precursor"
"137"	86	"IPI:IPI00419744.4"	"FCN3"	"Isoform 2 of Ficolin-3 precursor"
"138"	86	"IPI:IPI00293925.2"	"FCN3"	"Isoform 1 of Ficolin-3 precursor"
"139"	87	"IPI:IPI00218732.3"	"PON1"	"Serum paraoxonase/arylesterase 1"
"140"	87	"IPI:IPI00798167.1"	"PON1"	"32 kDa protein"
"141"	88	"IPI:IPI00556155.2"	"IGFBP3"	"insulin-like growth factor binding protein 3 isoform a precursor"
"142"	88	"IPI:IPI00018305.4"	"IGFBP3"	"Insulin-like growth factor-binding protein 3 precursor"
"143"	88	"IPI:IPI00855835.1"	"-"	"Insulin-like growth factor binding protein 3 isoform b"
"144"	89	"IPI:IPI00855916.1"	"-"	"Transthyretin"
"145"	89	"IPI:IPI00022432.1"	"TTR"	"Transthyretin precursor"
"146"	90	"IPI:IPI00029193.1"	"HGFAC"	"Hepatocyte growth factor activator precursor"
"147"	91	"IPI:IPI00012792.1"	"CDH5"	"Cadherin-5 precursor"
"148"	91	"IPI:IPI00607725.4"	"CDH5"	"cadherin 5, type 2 isoform 2 preproprotein"
"149"	92	"IPI:IPI00643948.2"	"C1QB"	"Complement component 1, q subcomponent, B chain"
"150"	92	"IPI:IPI00477992.1"	"C1QB"	"complement component 1, q subcomponent, B chain precursor"
"151"	93	"IPI:IPI00296176.2"	"F9"	"Coagulation factor IX precursor"
"152"	94	"IPI:IPI00847381.1"	"SEPP1"	"selenoprotein P isoform 2"
"153"	94	"IPI:IPI00029061.2"	"SEPP1"	"Selenoprotein P precursor"
"154"	95	"IPI:IPI00410714.5"	"HBA2;HBA1"	"Hemoglobin subunit alpha"
"155"	95	"IPI:IPI00853068.1"	"HBA2;HBA1"	"Alpha 2 globin variant (Fragment)"
"156"	96	"IPI:IPI00743248.5"	"TNXB"	"DJ34F7.1.1"
"157"	96	"IPI:IPI00025276.1"	"TNXB"	"Isoform XB of Tenascin-X precursor"
"158"	96	"IPI:IPI00644296.1"	"TNXB"	"Tenascin XB"
"159"	97	"IPI:IPI00872573.1"	"C1RL"	"48 kDa protein"
"160"	97	"IPI:IPI00795055.1"	"C1RL"	"CDNA FLJ14022 fis, clone HEMBA1003538, weakly similar to COMPLEMENT C1R COMPONENT"
"161"	97	"IPI:IPI00009793.3"	"C1RL"	"Complement C1r-like protein"
"162"	98	"IPI:IPI00025426.2"	"PZP"	"Pregnancy zone protein precursor"
"163"	98	"IPI:IPI00748437.2"	"PZP"	"Uncharacterized protein PZP"
"164"	99	"IPI:IPI00029260.2"	"CD14"	"Monocyte differentiation antigen CD14 precursor"
"165"	100	"IPI:IPI00009792.1"	"IGHV1OR15-1"	"Ig heavy chain V-I region V35 precursor"
"166"	101	"IPI:IPI00478809.3"	"F5"	"Coagulation factor V precursor"
"167"	101	"IPI:IPI00022937.4"	"F5"	"Coagulation factor V"
"168"	102	"IPI:IPI00549330.4"	"IGKV3D-15"	"Myosin-reactive immunoglobulin light chain variable region"
"169"	102	"IPI:IPI00384401.1"	"-"	"Myosin-reactive immunoglobulin kappa chain variable region (Fragment)"
"170"	102	"IPI:IPI00385253.1"	"-"	"Ig kappa chain V-III region CLL precursor"
"171"	103	"IPI:IPI00007221.1"	"SERPINA5"	"Plasma serine protease inhibitor precursor"
"172"	104	"IPI:IPI00022394.2"	"C1QC"	"Complement C1q subcomponent subunit C precursor"
"173"	105	"IPI:IPI00815665.1"	"PRSS1"	"PRSS1 protein"
"174"	105	"IPI:IPI00011695.8"	"PRSS2"	"Protease serine 2 isoform B"
"175"	106	"IPI:IPI00719373.1"	"IGL@"	"IGL@ protein"
"176"	106	"IPI:IPI00745660.2"	"IGL@"	"IGL@ protein"
"177"	106	"IPI:IPI00785164.1"	"-"	"Putative uncharacterized protein"
"178"	106	"IPI:IPI00784627.1"	"-"	"Putative uncharacterized protein"
"179"	106	"IPI:IPI00829640.1"	"IGL@"	"IGL@ protein"
"180"	106	"IPI:IPI00784713.1"	"-"	"Putative uncharacterized protein"
"181"	106	"IPI:IPI00852577.1"	"IGLC1"	"IGLC1 protein"
"182"	106	"IPI:IPI00784983.1"	"-"	"Putative uncharacterized protein"
"183"	106	"IPI:IPI00784589.1"	"-"	"Putative uncharacterized protein DKFZp781M0386"
"184"	107	"IPI:IPI00020019.1"	"ADIPOQ"	"Adiponectin precursor"
"185"	108	"IPI:IPI00003590.2"	"QSOX1"	"Isoform 1 of Sulfhydryl oxidase 1 precursor"
"186"	109	"IPI:IPI00844156.2"	"SERPINC1"	"SERPINC1 protein"
"187"	110	"IPI:IPI00023673.1"	"LGALS3BP"	"Galectin-3-binding protein precursor"
"188"	111	"IPI:IPI00386133.1"	"-"	"Ig kappa chain V-IV region B17 precursor"
"189"	111	"IPI:IPI00387120.1"	"-"	"Ig kappa chain V-IV region Len"
"190"	111	"IPI:IPI00386132.1"	"-"	"Ig kappa chain V-IV region JI precursor"
"191"	111	"IPI:IPI00026197.7"	"IGKV4-1"	"Similar to Ig kappa chain V-IV region precursor"
"192"	112	"IPI:IPI00294713.4"	"MASP2"	"Isoform 1 of Mannan-binding lectin serine protease 2 precursor"
"193"	112	"IPI:IPI00871793.2"	"MASP2"	"cDNA FLJ77090, highly similar to Homo sapiens mannan-binding lectin serine peptidase 2 (MASP2), transcript variant 1, mRNA"
"194"	112	"IPI:IPI00871597.1"	"MASP2"	"Uncharacterized protein MASP2 (Fragment)"
"195"	112	"IPI:IPI00306378.5"	"MASP2"	"Isoform 2 of Mannan-binding lectin serine protease 2 precursor"
"196"	113	"IPI:IPI00746623.2"	"HABP2"	"Hyaluronan-binding protein 2 precursor"
"197"	114	"IPI:IPI00166729.4"	"AZGP1"	"alpha-2-glycoprotein 1, zinc"
"198"	115	"IPI:IPI00878609.1"	"ITIH4"	"Protein"
"199"	115	"IPI:IPI00878152.1"	"ITIH4"	"71 kDa protein"
"200"	116	"IPI:IPI00007240.2"	"F13B"	"Coagulation factor XIII B chain precursor"
"201"	117	"IPI:IPI00884176.1"	"F13A1"	"coagulation factor XIII A1 subunit precursor"
"202"	117	"IPI:IPI00297550.8"	"F13A1"	"Coagulation factor XIII A chain precursor"
"203"	118	"IPI:IPI00220327.3"	"KRT1"	"Keratin, type II cytoskeletal 1"
"204"	119	"IPI:IPI00019359.3"	"KRT9"	"Keratin, type I cytoskeletal 9"
"205"	120	"IPI:IPI00025864.5"	"BCHE"	"Cholinesterase precursor"
"206"	121	"IPI:IPI00784817.1"	"IGHV4-31"	"Anti-RhD monoclonal T125 gamma1 heavy chain precursor"
"207"	121	"IPI:IPI00828061.1"	"-"	"Anti-mucin1 heavy chain variable region (Fragment)"
"208"	121	"IPI:IPI00384400.1"	"-"	"Myosin-reactive immunoglobulin heavy chain variable region (Fragment)"
"209"	121	"IPI:IPI00827846.1"	"-"	"Anti-mucin1 heavy chain variable region (Fragment)"
"210"	121	"IPI:IPI00477090.6"	"IGHM"	"IGHM protein"
"211"	121	"IPI:IPI00829806.1"	"SCFV"	"Immunglobulin heavy chain variable region (Fragment)"
"212"	121	"IPI:IPI00827960.1"	"-"	"Immunglobulin heavy chain precursor (Fragment)"
"213"	121	"IPI:IPI00829976.1"	"-"	"13 kDa protein"
"214"	121	"IPI:IPI00829747.1"	"-"	"Similar to Immunglobulin heavy chain variable region"
"215"	121	"IPI:IPI00884022.1"	"-"	"Similar to Immunglobulin heavy chain variable region"
"216"	121	"IPI:IPI00884080.1"	"-"	"Similar to Immunglobulin heavy chain variable region"
"217"	121	"IPI:IPI00382489.1"	"-"	"Ig heavy chain V-III region KOL"
"218"	122	"IPI:IPI00064667.4"	"CNDP1"	"Beta-Ala-His dipeptidase precursor"
"219"	123	"IPI:IPI00304273.2"	"APOA4"	"Apolipoprotein A-IV precursor"
"220"	124	"IPI:IPI00385250.1"	"PRSS3"	"Protease serine 4 isoform B"
"221"	124	"IPI:IPI00843764.1"	"PRSS3"	"Isoform C of Trypsin-3 precursor"
"222"	124	"IPI:IPI00220839.2"	"PRSS3"	"Protease, serine, 3"
"223"	124	"IPI:IPI00015614.3"	"PRSS3"	"Isoform A of Trypsin-3 precursor"
"224"	125	"IPI:IPI00744685.2"	"BTD"	"Uncharacterized protein BTD (Fragment)"
"225"	125	"IPI:IPI00218413.2"	"BTD"	"biotinidase precursor"
"226"	126	"IPI:IPI00514285.2"	"PTGDS"	"Prostaglandin D2 synthase 21kDa"
"227"	126	"IPI:IPI00013179.1"	"PTGDS"	"Prostaglandin-H2 D-isomerase precursor"
"228"	126	"IPI:IPI00514208.1"	"PTGDS"	"Prostaglandin D2 synthase 21kDa"
"229"	126	"IPI:IPI00513767.2"	"PTGDS"	"Prostaglandin D2 synthase 21kDa"
"230"	127	"IPI:IPI00854743.1"	"-"	"Uncharacterized protein ENSP00000375034"
"231"	127	"IPI:IPI00645363.2"	"IGHG1"	"Putative uncharacterized protein DKFZp686P15220"
"232"	127	"IPI:IPI00163446.3"	"IGHD"	"IGHD protein"
"233"	127	"IPI:IPI00829601.1"	"-"	"Similar to Immunglobulin heavy chain variable region"
"234"	127	"IPI:IPI00745363.4"	"LOC652113"	"Immunglobulin heavy chain variable region (Fragment)"
"235"	128	"IPI:IPI00884433.1"	"-"	"13 kDa protein"
"236"	128	"IPI:IPI00829600.1"	"-"	"Uncharacterized protein ENSP00000374803"
"237"	128	"IPI:IPI00743194.2"	"-"	"Kappa light chain variable region (Fragment)"
"238"	128	"IPI:IPI00550731.2"	"-"	"Putative uncharacterized protein"
"239"	128	"IPI:IPI00419424.3"	"IGKV1-5"	"IGKV1-5 protein"
"240"	128	"IPI:IPI00440577.3"	"IGKV2-24"	"IGKV2-24 protein"
"241"	128	"IPI:IPI00430808.2"	"IGKC"	"Immunoblobulin light chain (Fragment)"
"242"	128	"IPI:IPI00854806.1"	"IGKV1-5"	"IGKV1-5 protein"
"243"	128	"IPI:IPI00384397.1"	"-"	"Myosin-reactive immunoglobulin light chain variable region (Fragment)"
"244"	128	"IPI:IPI00827829.1"	"-"	"HRV Fab N8-VL (Fragment)"
"245"	128	"IPI:IPI00827773.1"	"-"	"Cold agglutinin FS-1 L-chain (Fragment)"
"246"	128	"IPI:IPI00743389.1"	"IGKV1-5"	"Ig kappa chain V-II region GM607 precursor (Fragment)"
"247"	128	"IPI:IPI00387107.3"	"IGKV2-40"	"Ig kappa chain V-II region Cum"
"248"	128	"IPI:IPI00829663.1"	"-"	"Uncharacterized protein ENSP00000374801"
"249"	128	"IPI:IPI00854709.1"	"-"	"Uncharacterized protein ENSP00000374799 (Fragment)"
"250"	128	"IPI:IPI00829947.1"	"-"	"13 kDa protein"
"251"	128	"IPI:IPI00829827.1"	"-"	"Uncharacterized protein ENSP00000374804"
"252"	128	"IPI:IPI00736885.1"	"LOC440786"	"Ig kappa chain V-II region TEW"
"253"	128	"IPI:IPI00387111.5"	"-"	"Uncharacterized protein ENSP00000333154"
"254"	129	"IPI:IPI00022417.4"	"LRG1"	"Leucine-rich alpha-2-glycoprotein precursor"
"255"	130	"IPI:IPI00242956.4"	"FCGBP"	"IgGFc-binding protein precursor"
"256"	130	"IPI:IPI00788189.1"	"FCGBP"	"similar to Fc fragment of IgG binding protein"
"257"	131	"IPI:IPI00022331.1"	"LCAT"	"Phosphatidylcholine-sterol acyltransferase precursor"
"258"	132	"IPI:IPI00296534.1"	"FBLN1"	"Isoform D of Fibulin-1 precursor"
"259"	132	"IPI:IPI00218803.2"	"FBLN1"	"Isoform B of Fibulin-1 precursor"
"260"	133	"IPI:IPI00395488.2"	"VASN"	"Vasorin precursor"
"261"	134	"IPI:IPI00871997.1"	"DBH"	"Dopamine beta-hydroxylase precursor"
"262"	134	"IPI:IPI00171678.4"	"DBH"	"Dopamine beta-hydroxylase"
"263"	135	"IPI:IPI00021304.1"	"KRT2"	"Keratin, type II cytoskeletal 2 epidermal"
"264"	136	"IPI:IPI00830035.1"	"-"	"Similar to Anti-streptococcal/anti-myosin immunoglobulin kappa light chain variable region"
"265"	137	"IPI:IPI00784430.3"	"IGKV3D-11"	"Similar to Ig kappa chain V-III region VG precursor"
"266"	138	"IPI:IPI00016334.2"	"MCAM"	"Isoform 1 of Cell surface glycoprotein MUC18 precursor"
"267"	139	"IPI:IPI00783993.1"	"IGHA2"	"IGHA2 protein"
"268"	139	"IPI:IPI00384952.1"	"-"	"Putative uncharacterized protein DKFZp686K04218 (Fragment)"
"269"	139	"IPI:IPI00642017.1"	"IGHA2"	"Putative uncharacterized protein DKFZp686C02218 (Fragment)"
"270"	139	"IPI:IPI00785067.1"	"IGH@"	"IGH@ protein"
"271"	139	"IPI:IPI00784950.1"	"LOC100126583"	"Putative uncharacterized protein DKFZp686L19235"
"272"	139	"IPI:IPI00784758.1"	"LOC100126583"	"Putative uncharacterized protein DKFZp686M08189"
"273"	139	"IPI:IPI00784830.1"	"LOC100126583"	"CDNA FLJ41981 fis, clone SMINT2011888, highly similar to Protein Tro alpha1 H,myeloma"
"274"	139	"IPI:IPI00423461.3"	"IGHA2"	"Putative uncharacterized protein DKFZp686C02220 (Fragment)"
"275"	139	"IPI:IPI00784969.1"	"LOC100126583"	"Putative uncharacterized protein"
"276"	139	"IPI:IPI00641229.3"	"IGHA2"	"Ig alpha-2 chain C region"
"277"	139	"IPI:IPI00829711.1"	"IGHA2"	"Uncharacterized protein IGHA2 (Fragment)"
"278"	140	"IPI:IPI00418153.1"	"IGHM"	"Putative uncharacterized protein DKFZp686I15212"
"279"	140	"IPI:IPI00448938.1"	"IGHG1"	"IGHG1 protein"
"280"	140	"IPI:IPI00827627.1"	"-"	"Vh1-D-J3-region (Fragment)"
"281"	141	"IPI:IPI00032311.4"	"LBP"	"Lipopolysaccharide-binding protein precursor"
"282"	142	"IPI:IPI00759754.1"	"TTN"	"Isoform 1 of Titin"
"283"	142	"IPI:IPI00759542.1"	"TTN"	"Isoform 8 of Titin"
"284"	142	"IPI:IPI00023283.3"	"TTN"	"Isoform 2 of Titin"
"285"	142	"IPI:IPI00759637.1"	"TTN"	"Isoform 4 of Titin"
"286"	142	"IPI:IPI00749039.2"	"TTN"	"titin isoform N2-A"
"287"	142	"IPI:IPI00179357.2"	"TTN"	"Isoform 7 of Titin"
"288"	142	"IPI:IPI00759613.1"	"TTN"	"Isoform 5 of Titin"
"289"	142	"IPI:IPI00412307.8"	"TTN"	"2268 kDa protein"
"290"	142	"IPI:IPI00455173.4"	"TTN"	"Isoform 3 of Titin"
"291"	142	"IPI:IPI00375499.2"	"TTN"	"titin isoform novex-2"
"292"	142	"IPI:IPI00375498.2"	"TTN"	"titin isoform novex-1"
"293"	143	"IPI:IPI00868938.1"	"-"	"Beta-2-microglobulin"
"294"	143	"IPI:IPI00796379.1"	"B2M"	"B2M protein"
"295"	144	"IPI:IPI00789795.1"	"ADAM22"	"98 kDa protein"
"296"	144	"IPI:IPI00220632.1"	"ADAM22"	"Isoform 3 of ADAM 22 precursor"
