N	Accession	Gene_Symbol	Protein_Name	Unused
80	IPI00883722.1	CFHR1	FHR-1; complement Factor H-related protein 1	0.00
81	IPI00855916.1	-	Transthyretin	10.03
81	IPI00022432.1	TTR	Transthyretin precursor	0.00
82	IPI00011694.1	PRSS1	Trypsin-1 precursor	10.00
83	IPI00020091.1	ORM2	Alpha-1-acid glycoprotein 2 precursor	9.52
84	IPI00021841.1	APOA1	Apolipoprotein A-I precursor	9.41
85	IPI00645849.1	ECM1	Extracellular matrix protein 1	9.28
85	IPI00003351.2	ECM1	Extracellular matrix protein 1 precursor	0.00
86	IPI00853068.1	HBA2;HBA1	Alpha 2 globin variant (Fragment)	9.12
86	IPI00410714.5	HBA2;HBA1	Hemoglobin subunit alpha	0.00
87	IPI00656092.1	PRG4	Isoform F of Proteoglycan-4 precursor	9.06
87	IPI00655927.1	PRG4	Isoform B of Proteoglycan-4 precursor	0.00
87	IPI00024825.2	PRG4	Isoform A of Proteoglycan-4 precursor	0.00
87	IPI00655976.1	PRG4	Isoform C of Proteoglycan-4 precursor	0.00
87	IPI00655676.1	PRG4	Isoform D of Proteoglycan-4 precursor	0.00
87	IPI00656111.1	PRG4	Isoform E of Proteoglycan-4 precursor	0.00
88	IPI00019576.1	F10	Coagulation factor X precursor	8.79
89	IPI00329775.7	CPB2	Isoform 1 of Carboxypeptidase B2 precursor	8.54
90	IPI00007199.4	SERPINA10	Protein Z-dependent protease inhibitor precursor	8.32
91	IPI00746623.2	HABP2	Hyaluronan-binding protein 2 precursor	8.19
92	IPI00654755.3	HBB	Hemoglobin subunit beta	8.14
93	IPI00719373.1	IGL@	IGL@ protein	8.00
93	IPI00784627.1	-	Putative uncharacterized protein	0.00
93	IPI00784713.1	-	Putative uncharacterized protein	0.00
93	IPI00785164.1	-	Putative uncharacterized protein	0.00
93	IPI00745660.2	IGL@	IGL@ protein	0.00
93	IPI00852577.1	IGLC1	IGLC1 protein	0.00
93	IPI00829640.1	IGL@	IGL@ protein	0.00
93	IPI00784983.1	-	Putative uncharacterized protein	0.00
93	IPI00784589.1	-	Putative uncharacterized protein DKFZp781M0386	0.00
94	IPI00738433.1	CPN2	similar to Carboxypeptidase N subunit 2 precursor	7.70
94	IPI00479116.1	CPN2	Carboxypeptidase N subunit 2 precursor	0.00
95	IPI00855835.1	-	Insulin-like growth factor binding protein 3 isoform b	7.58
95	IPI00444386.3	IGFBP3	CDNA FLJ45630 fis, clone CHONS2001287, moderately similar to INSULIN- LIKE GROWTH FACTOR BINDING PROTEIN 3	0.52
95	IPI00556155.2	IGFBP3	insulin-like growth factor binding protein 3 isoform a precursor	0.00
95	IPI00018305.4	IGFBP3	Insulin-like growth factor-binding protein 3 precursor	0.00
96	IPI00215983.3	CA1	Carbonic anhydrase 1	7.42
96	IPI00796435.1	CA1	22 kDa protein	0.00
97	IPI00743766.2	FETUB	Fetuin-B precursor	7.38
97	IPI00552199.3	FETUB	GUGU beta form	0.00
98	IPI00012792.1	CDH5	Cadherin-5 precursor	7.11
98	IPI00607725.4	CDH5	cadherin 5, type 2 isoform 2 preproprotein	0.00
99	IPI00007240.2	F13B	Coagulation factor XIII B chain precursor	6.89
100	IPI00643948.2	C1QB	Complement component 1, q subcomponent, B chain	6.83
100	IPI00477992.1	C1QB	complement component 1, q subcomponent, B chain precursor	0.00
101	IPI00029193.1	HGFAC	Hepatocyte growth factor activator precursor	6.59
102	IPI00010295.1	CPN1	Carboxypeptidase N catalytic chain precursor	6.54
103	IPI00844400.1	C1QA	23 kDa protein	6.49
103	IPI00022392.1	C1QA	Complement C1q subcomponent subunit A precursor	0.00
104	IPI00299503.2	GPLD1	Isoform 1 of Phosphatidylinositol-glycan-specific phospholipase D precursor	6.21
105	IPI00004373.1	MBL2	Mannose-binding protein C precursor	6.15
106	IPI00025864.5	BCHE	Cholinesterase precursor	6.11
107	IPI00844156.2	SERPINC1	SERPINC1 protein	6.10
108	IPI00022394.2	C1QC	Complement C1q subcomponent subunit C precursor	6.00
109	IPI00020019.1	ADIPOQ	Adiponectin precursor	6.00
110	IPI00293925.2	FCN3	Isoform 1 of Ficolin-3 precursor	5.75
110	IPI00419744.4	FCN3	Isoform 2 of Ficolin-3 precursor	0.00
111	IPI00021440.1	ACTG1;PSPHL	Actin, cytoplasmic 2	5.74
111	IPI00021428.1	ACTA1	Actin, alpha skeletal muscle	0.00
111	IPI00021439.1	ACTB	Actin, cytoplasmic 1	0.00
111	IPI00514530.5	ACTA1	Uncharacterized protein ACTA1	0.00
111	IPI00414057.3	ACTA1	Actin alpha 1 skeletal muscle protein	0.00
111	IPI00025416.3	ACTG2	Actin, gamma-enteric smooth muscle	0.00
111	IPI00023006.1	ACTC1	Actin, alpha cardiac muscle 1	0.00
111	IPI00008603.1	ACTA2	Actin, aortic smooth muscle	0.00
112	IPI00296176.2	F9	Coagulation factor IX precursor	5.30
113	IPI00884176.1	F13A1	coagulation factor XIII A1 subunit precursor	5.15
113	IPI00297550.8	F13A1	Coagulation factor XIII A chain precursor	0.00
114	IPI00759754.1	TTN	Isoform 1 of Titin	4.86
114	IPI00759542.1	TTN	Isoform 8 of Titin	0.00
114	IPI00023283.3	TTN	Isoform 2 of Titin	0.00
114	IPI00179357.2	TTN	Isoform 7 of Titin	0.00
114	IPI00749039.2	TTN	titin isoform N2-A	0.00
114	IPI00759637.1	TTN	Isoform 4 of Titin	0.00
114	IPI00759613.1	TTN	Isoform 5 of Titin	0.00
114	IPI00412307.8	TTN	2268 kDa protein	0.00
114	IPI00375499.2	TTN	titin isoform novex-2	0.00
114	IPI00455173.4	TTN	Isoform 3 of Titin	0.00
114	IPI00375498.2	TTN	titin isoform novex-1	0.00
115	IPI00418422.3	IGHD	IGHD protein	4.86
116	IPI00788786.1	VWF	309 kDa protein	4.83
116	IPI00023014.1	VWF	von Willebrand factor precursor	0.00
117	IPI00847381.1	SEPP1	selenoprotein P isoform 2	4.74
117	IPI00029061.2	SEPP1	Selenoprotein P precursor	0.00
118	IPI00021304.1	KRT2	Keratin, type II cytoskeletal 2 epidermal	4.73
119	IPI00292218.4	MST1	Hepatocyte growth factor-like protein precursor	4.64
120	IPI00788189.1	FCGBP	similar to Fc fragment of IgG binding protein	4.58
120	IPI00242956.4	FCGBP	IgGFc-binding protein precursor	0.00
121	IPI00829956.1	-	Rheumatoid factor C6 light chain (Fragment)	4.31
121	IPI00829912.1	IGKV1-5	Ig kappa chain V-I region HK102 precursor	0.00
121	IPI00387026.1	-	Ig kappa chain V-I region EU	0.00
122	IPI00064667.4	CNDP1	Beta-Ala-His dipeptidase precursor	4.24
122	IPI00749466.1	CNDP1	35 kDa protein	0.00
123	IPI00007221.1	SERPINA5	Plasma serine protease inhibitor precursor	4.18
124	IPI00784807.1	-	Putative uncharacterized protein	4.05
124	IPI00784942.1	-	Putative uncharacterized protein DKFZp686E23209	0.01
124	IPI00399007.5	IGHG2	Putative uncharacterized protein DKFZp686I04196 (Fragment)	0.00
124	IPI00426051.3	-	Putative uncharacterized protein DKFZp686C15213	0.00
124	IPI00829767.1	IGHG2	Uncharacterized protein IGHG2 (Fragment)	0.00
125	IPI00555812.4	GC	Vitamin D-binding protein precursor	4.00
126	IPI00448938.1	IGHG1	IGHG1 protein	4.00
126	IPI00784817.1	IGHV4-31	Anti-RhD monoclonal T125 gamma1 heavy chain precursor	0.01
126	IPI00807531.2	IGHG1	IGHG1 protein	0.00
126	IPI00815926.1	IGHG1	IGHG1 protein	0.00
126	IPI00418153.1	IGHM	Putative uncharacterized protein DKFZp686I15212	0.00
126	IPI00784810.1	IGHV4-31	IGHV4-31 protein	0.00
126	IPI00829944.1	IGHG1	IGHG1 protein	0.00
126	IPI00785084.1	IGHV4-31	Immunoglobulin heavy variable 4-31	0.00
126	IPI00645363.2	IGHG1	Putative uncharacterized protein DKFZp686P15220	0.00
126	IPI00816314.1	IGHM	Putative uncharacterized protein DKFZp686I15196	0.00
126	IPI00384938.1	IGHG1	Putative uncharacterized protein DKFZp686N02209	0.00
126	IPI00448925.3	IGHG1	IGHG1 protein	0.00
126	IPI00423463.1	IGHG1	Putative uncharacterized protein DKFZp686O01196	0.00
126	IPI00784822.1	IGHV4-31	IGHV4-31 protein	0.00
126	IPI00423466.1	IGHG1	Putative uncharacterized protein DKFZp686H20196	0.00
126	IPI00423464.1	IGHG1	Putative uncharacterized protein DKFZp686K03196	0.00
126	IPI00382606.1	F7	Factor VII active site mutant immunoconjugate	0.00
126	IPI00827627.1	-	Vh1-D-J3-region (Fragment)	0.00
127	IPI00854806.1	IGKV1-5	IGKV1-5 protein	4.00
127	IPI00550731.2	-	Putative uncharacterized protein	0.00
127	IPI00419424.3	IGKV1-5	IGKV1-5 protein	0.00
127	IPI00430808.2	IGKC	Immunoblobulin light chain (Fragment)	0.00
127	IPI00884433.1	-	13 kDa protein	0.00
127	IPI00829600.1	-	Uncharacterized protein ENSP00000374803	0.00
127	IPI00743194.2	-	Kappa light chain variable region (Fragment)	0.00
127	IPI00387107.3	IGKV2-40	Ig kappa chain V-II region Cum	0.00
127	IPI00384397.1	-	Myosin-reactive immunoglobulin light chain variable region (Fragment)	0.00
127	IPI00854709.1	-	Uncharacterized protein ENSP00000374799 (Fragment)	0.00
127	IPI00829947.1	-	13 kDa protein	0.00
127	IPI00829663.1	-	Uncharacterized protein ENSP00000374801	0.00
127	IPI00827773.1	-	Cold agglutinin FS-1 L-chain (Fragment)	0.00
127	IPI00743389.1	IGKV1-5	Ig kappa chain V-II region GM607 precursor (Fragment)	0.00
127	IPI00736885.1	LOC440786	Ig kappa chain V-II region TEW	0.00
127	IPI00387111.5	-	Uncharacterized protein ENSP00000333154	0.00
127	IPI00827829.1	-	HRV Fab N8-VL (Fragment)	0.00
128	IPI00006154.1	CFHR2	Isoform Long of Complement factor H-related protein 2 precursor	4.00
128	IPI00218949.1	CFHR2	Isoform Short of Complement factor H-related protein 2 precursor	0.00
129	IPI00026199.1	GPX3	Glutathione peroxidase 3 precursor	3.77
130	IPI00296534.1	FBLN1	Isoform D of Fibulin-1 precursor	3.56
130	IPI00218803.2	FBLN1	Isoform B of Fibulin-1 precursor	0.00
130	IPI00413623.2	FBLN1	fibulin 1 isoform B precursor	0.00
130	IPI00333852.1	FBLN1	Isoform A of Fibulin-1 precursor	0.00
130	IPI00296537.3	FBLN1	Isoform C of Fibulin-1 precursor	0.00
131	IPI00022229.1	APOB	Apolipoprotein B-100 precursor	3.55
132	IPI00003590.2	QSOX1	Isoform 1 of Sulfhydryl oxidase 1 precursor	3.53
132	IPI00015916.1	QSOX1	Bone-derived growth factor (Fragment)	0.00
132	IPI00872013.1	QSOX1	Uncharacterized protein QSOX1	0.00
132	IPI00465016.7	QSOX1	Isoform 2 of Sulfhydryl oxidase 1 precursor	0.00
133	IPI00386133.1	-	Ig kappa chain V-IV region B17 precursor	3.52
133	IPI00386132.1	-	Ig kappa chain V-IV region JI precursor	0.00
133	IPI00026197.7	IGKV4-1	Similar to Ig kappa chain V-IV region precursor	0.00
133	IPI00387120.1	-	Ig kappa chain V-IV region Len	0.00
133	IPI00385143.1	-	Microfibrillar protein 2 (Fragment)	0.00
134	IPI00022937.4	F5	Coagulation factor V	3.46
134	IPI00478809.3	F5	Coagulation factor V precursor	0.00
135	IPI00009793.3	C1RL	Complement C1r-like protein	3.33
135	IPI00872573.1	C1RL	48 kDa protein	0.00
135	IPI00795055.1	C1RL	CDNA FLJ14022 fis, clone HEMBA1003538, weakly similar to COMPLEMENT C1R COMPONENT	0.00
136	IPI00018219.1	TGFBI	Transforming growth factor-beta-induced protein ig-h3 precursor	3.22
136	IPI00873923.1	TGFBI	TGFBI protein	0.00
136	IPI00556324.1	TGFBI	Transforming growth factor, beta-induced, 68kDa variant (Fragment)	0.00
137	IPI00029260.2	CD14	Monocyte differentiation antigen CD14 precursor	3.05
138	IPI00395488.2	VASN	Vasorin precursor	2.94
139	IPI00166729.4	AZGP1	alpha-2-glycoprotein 1, zinc	2.90
139	IPI00871596.1	AZGP1	Uncharacterized protein AZGP1 (Fragment)	0.01
139	IPI00816309.1	AZGP1	AZGP1 protein (Fragment)	0.00
140	IPI00847179.1	APOA4	apolipoprotein A-IV precursor	2.52
141	IPI00013933.2	DSP	Isoform DPI of Desmoplakin	2.34
141	IPI00217182.4	DSP	Isoform DPII of Desmoplakin	0.00
141	IPI00872333.1	DSP	Uncharacterized protein DSP	0.00
141	IPI00746877.1	DSP	CDNA FLJ26719 fis, clone PNC03379	0.00
142	IPI00878609.1	ITIH4	Protein	2.31
142	IPI00878152.1	ITIH4	71 kDa protein	0.00
143	IPI00178926.2	IGJ	immunoglobulin J chain	2.11
144	IPI00021854.1	APOA2	Apolipoprotein A-II precursor	2.11
145	IPI00218326.1	SP100	Isoform Sp100-C of Nuclear autoantigen Sp-100	2.10
146	IPI00744685.2	BTD	Uncharacterized protein BTD (Fragment)	2.09
146	IPI00218413.2	BTD	biotinidase precursor	0.00
147	IPI00786995.1	LOC731751	similar to protein kinase, DNA-activated, catalytic polypeptide	2.06
147	IPI00376215.2	PRKDC	Isoform 2 of DNA-dependent protein kinase catalytic subunit	0.00
147	IPI00296337.2	PRKDC	Isoform 1 of DNA-dependent protein kinase catalytic subunit	0.00
148	IPI00022331.1	LCAT	Phosphatidylcholine-sterol acyltransferase precursor	2.06
149	IPI00409710.1	SLIT3	Isoform 3 of Slit homolog 3 protein precursor	2.05
149	IPI00017640.1	SLIT3	Isoform 1 of Slit homolog 3 protein precursor	0.01
149	IPI00409709.1	SLIT3	Isoform 2 of Slit homolog 3 protein precursor	0.01
150	IPI00794753.2	CNOT10	Isoform 4 of CCR4-NOT transcription complex subunit 10	2.03
150	IPI00790411.1	CNOT10	Isoform 1 of CCR4-NOT transcription complex subunit 10	0.00
150	IPI00396314.5	CNOT10	Isoform 3 of CCR4-NOT transcription complex subunit 10	0.00
150	IPI00878368.1	CNOT10	Isoform 2 of CCR4-NOT transcription complex subunit 10	0.00
150	IPI00791933.1	CNOT10	Isoform 5 of CCR4-NOT transcription complex subunit 10	0.00
150	IPI00795462.1	CNOT10	21 kDa protein	0.00
151	IPI00514468.1	MACF1	670 kDa protein	2.02
151	IPI00432363.1	MACF1	Microtubule-actin cross-linking factor 1, isoform 4	0.00
152	IPI00848003.2	RIMS1	Isoform 2 of Regulating synaptic membrane exocytosis protein 1	2.02
152	IPI00387015.1	RIMS1	Isoform 1 of Regulating synaptic membrane exocytosis protein 1	0.00
152	IPI00472331.3	RIMS1	Isoform 3 of Regulating synaptic membrane exocytosis protein 1	0.00
152	IPI00339392.1	RIMS1	Isoform 4 of Regulating synaptic membrane exocytosis protein 1	0.00
152	IPI00387018.1	RIMS1	Isoform 5 of Regulating synaptic membrane exocytosis protein 1	0.00
152	IPI00871571.1	RIMS1	Regulating synaptic membrane exocytosis 1	0.00
152	IPI00643902.1	RIMS1	Regulating synaptic membrane exocytosis 1	0.00
152	IPI00339394.1	RIMS1	Isoform 6 of Regulating synaptic membrane exocytosis protein 1	0.00
152	IPI00387019.1	RIMS1	Isoform 7 of Regulating synaptic membrane exocytosis protein 1	0.00
152	IPI00339396.1	RIMS1	Isoform 8 of Regulating synaptic membrane exocytosis protein 1	0.00
152	IPI00643480.1	RIMS1	Regulating synaptic membrane exocytosis 1	0.00
153	IPI00852826.2	APOL1	42 kDa protein	2.02
153	IPI00186903.3	APOL1	Isoform 2 of Apolipoprotein-L1 precursor	0.00
153	IPI00514475.4	APOL1	Isoform 1 of Apolipoprotein-L1 precursor	0.00
154	IPI00654875.1	C4B	Complement C4-B precursor	2.01
154	IPI00032258.4	C4A;C4B	Complement C4-A precursor	0.00
155	IPI00619902.1	ABCA3	ABCA3 variant protein (Fragment)	2.01
155	IPI00017800.2	ABCA3	ATP-binding cassette sub-family A member 3	0.00
155	IPI00735408.2	LOC342293	similar to ATP-binding cassette transporter sub-family A member 15	0.00
155	IPI00245612.3	LOC342293	similar to ATP-binding cassette transporter sub-family A member 15	0.00
155	IPI00375954.3	LOC390669	similar to ATP-binding cassette, sub-family A (ABC1), member 17	0.00
155	IPI00883675.1	-	Similar to ATP-binding cassette sub-family A member 3	0.00
156	IPI00643034.2	PLTP	Isoform 1 of Phospholipid transfer protein precursor	2.01
156	IPI00217778.1	PLTP	Isoform 2 of Phospholipid transfer protein precursor	0.00
156	IPI00022733.3	PLTP	45 kDa protein	0.00
157	IPI00165972.3	CFD	Complement factor D preproprotein	2.01
158	IPI00027827.2	SOD3	Extracellular superoxide dismutase [Cu-Zn] precursor	2.01
159	IPI00418163.3	C4B	C4B1	2.00
160	IPI00009028.1	CLEC3B	Tetranectin precursor	2.00
161	IPI00827488.1	IGKC	IGKC protein	2.00
161	IPI00829873.1	-	13 kDa protein	0.00
162	IPI00430847.1	IGKC	IGKC protein	2.00
162	IPI00829650.1	-	Similar to Ig kappa chain V-I region HK101 precursor	0.00
162	IPI00003470.1	-	Ig kappa chain V-I region Wes	0.00
163	IPI00815938.1	IGLV3-21	IGLV3-21 protein	2.00
164	IPI00423461.3	IGHA2	Putative uncharacterized protein DKFZp686C02220 (Fragment)	2.00
165	IPI00384391.1	-	Myosin-reactive immunoglobulin heavy chain variable region (Fragment)	2.00
166	IPI00027482.1	SERPINA6	Corticosteroid-binding globulin precursor	2.00
167	IPI00828061.1	-	Anti-mucin1 heavy chain variable region (Fragment)	2.00
167	IPI00827846.1	-	Anti-mucin1 heavy chain variable region (Fragment)	0.00
167	IPI00384400.1	-	Myosin-reactive immunoglobulin heavy chain variable region (Fragment)	0.00
168	IPI00871960.2	MASP1	cDNA FLJ75203, highly similar to Homo sapiens mannan-binding lectin serine protease 1 (C4/C2activating component of Ra-reactive factor) (MASP1), transcriptvariant 2, mRNA	2.00
168	IPI00290283.6	MASP1	mannan-binding lectin serine protease 1 isoform 2 precursor	0.00
168	IPI00871139.1	MASP1	92 kDa protein	0.00
168	IPI00299307.4	MASP1	Complement-activating component of Ra-reactive factor precursor	0.00
169	IPI00015924.1	TFIP11	Isoform 1 of Tuftelin-interacting protein 11	2.00
169	IPI00879058.1	TFIP11	Protein	0.00
170	IPI00829836.1	-	Uncharacterized protein ENSP00000374797	2.00
170	IPI00385555.1	-	Ig kappa chain V-I region BAN	0.00
171	IPI00829842.1	C14orf49	Isoform 2 of Nesprin-3	2.00
171	IPI00394994.2	C14orf49	Isoform 1 of Nesprin-3	0.00
172	IPI00607861.2	H6PD	GDH/6PGL endoplasmic bifunctional protein precursor	2.00
173	IPI00301143.5	PI16	Isoform 1 of Peptidase inhibitor 16 precursor	2.00
173	IPI00845506.1	PI16	Isoform 2 of Peptidase inhibitor 16 precursor	0.00
174	IPI00021817.1	PROC	Vitamin K-dependent protein C precursor	2.00
175	IPI00029235.1	IGFBP6	Insulin-like growth factor-binding protein 6 precursor	2.00
176	IPI00328396.3	S100A7A	Protein S100-A7A	2.00
176	IPI00219806.6	S100A7	Protein S100-A7	0.00
177	IPI00027350.3	PRDX2	Peroxiredoxin-2	2.00
177	IPI00794777.1	PRDX2	Uncharacterized protein PRDX2	0.00
178	IPI00657670.1	-	13 kDa protein	2.00
178	IPI00021857.1	APOC3	Apolipoprotein C-III precursor	0.00
