"N"	"Accession"	"Gene_Symbol"	"Protein_Name"
"39"	26	"IPI:IPI00296165.5"	"C1R;C17orf13;ACYP1"	"Complement C1r subcomponent precursor"
"40"	27	"IPI:IPI00291866.5"	"SERPING1"	"Plasma protease C1 inhibitor precursor"
"41"	27	"IPI:IPI00879931.1"	"SERPING1"	"cDNA FLJ78023, highly similar to Homo sapiens serine (or cysteine) proteinase inhibitor, clade G (C1inhibitor), member 1, (angioedema, hereditary) (SERPING1), mRNA"
"42"	28	"IPI:IPI00009920.2"	"C6"	"Complement component 6 precursor"
"43"	29	"IPI:IPI00745089.2"	"A1BG"	"alpha 1B-glycoprotein precursor"
"44"	29	"IPI:IPI00022895.7"	"A1BG"	"Alpha-1B-glycoprotein precursor"
"45"	30	"IPI:IPI00472610.2"	"IGHM"	"IGHM protein"
"46"	30	"IPI:IPI00784828.1"	"-"	"Putative uncharacterized protein DKFZp686C11235"
"47"	31	"IPI:IPI00798430.1"	"TF"	"Transferrin variant (Fragment)"
"48"	31	"IPI:IPI00022463.1"	"TF"	"Serotransferrin precursor"
"49"	32	"IPI:IPI00296608.6"	"C7"	"Complement component C7 precursor"
"50"	33	"IPI:IPI00019943.1"	"AFM"	"Afamin precursor"
"51"	34	"IPI:IPI00022431.1"	"AHSG"	"Alpha-2-HS-glycoprotein precursor"
"52"	35	"IPI:IPI00017696.1"	"C1S"	"Complement C1s subcomponent precursor"
"53"	35	"IPI:IPI00749179.2"	"C1S"	"Uncharacterized protein C1S"
"54"	36	"IPI:IPI00879231.1"	"SERPINF2"	"Alpha-2-antiplasmin precursor"
"55"	36	"IPI:IPI00029863.4"	"SERPINF2"	"SERPINF2 protein"
"56"	37	"IPI:IPI00022371.1"	"HRG"	"Histidine-rich glycoprotein precursor"
"57"	38	"IPI:IPI00294395.1"	"C8B"	"Complement component C8 beta chain precursor"
"58"	39	"IPI:IPI00292950.4"	"SERPIND1"	"Serpin peptidase inhibitor, clade D (Heparin cofactor), member 1"
"59"	39	"IPI:IPI00879573.1"	"SERPIND1"	"Heparin cofactor 2 precursor"
"60"	40	"IPI:IPI00298971.1"	"VTN"	"Vitronectin precursor"
"61"	41	"IPI:IPI00020996.3"	"IGFALS"	"Insulin-like growth factor-binding protein complex acid labile chain precursor"
"62"	42	"IPI:IPI00021841.1"	"APOA1"	"Apolipoprotein A-I precursor"
"63"	43	"IPI:IPI00298828.3"	"APOH"	"Beta-2-glycoprotein 1 precursor"
"64"	44	"IPI:IPI00400826.1"	"CLU"	"clusterin isoform 1"
"65"	44	"IPI:IPI00291262.3"	"CLU"	"Clusterin precursor"
"66"	44	"IPI:IPI00795633.1"	"CLU"	"CLU"
"67"	45	"IPI:IPI00019581.1"	"F12"	"Coagulation factor XII precursor"
"68"	46	"IPI:IPI00876950.1"	"ITIH3"	"Isoform 2 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor"
"69"	46	"IPI:IPI00028413.8"	"ITIH3"	"Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor"
"70"	46	"IPI:IPI00873416.1"	"ITIH3"	"Uncharacterized protein ITIH3"
"71"	47	"IPI:IPI00788786.1"	"VWF"	"309 kDa protein"
"72"	47	"IPI:IPI00023014.1"	"VWF"	"von Willebrand factor precursor"
"73"	48	"IPI:IPI00022391.1"	"APCS"	"Serum amyloid P-component precursor"
"74"	49	"IPI:IPI00032220.3"	"AGT"	"Angiotensinogen precursor"
"75"	50	"IPI:IPI00291867.3"	"CFI"	"Complement factor I precursor"
"76"	50	"IPI:IPI00872555.2"	"CFI"	"cDNA FLJ76262, highly similar to Homo sapiens I factor (complement) (IF), mRNA"
"77"	51	"IPI:IPI00430820.1"	"IGKV1-5"	"IGKV1-5 protein"
"78"	52	"IPI:IPI00553177.1"	"SERPINA1"	"Isoform 1 of Alpha-1-antitrypsin precursor"
"79"	53	"IPI:IPI00386879.1"	"IGHV3OR16-13;IGHA1"	"CDNA FLJ14473 fis, clone MAMMA1001080, highly similar to Homo sapiens SNC73 protein (SNC73) mRNA"
"80"	53	"IPI:IPI00430842.3"	"IGHV3OR16-13;IGHA1"	"IGHA1 protein"
"81"	53	"IPI:IPI00449920.1"	"IGHV3OR16-13;IGHA1"	"CDNA FLJ90170 fis, clone MAMMA1000370, highly similar to Ig alpha-1 chain C region"
"82"	53	"IPI:IPI00423460.3"	"IGHV3OR16-13;IGHA1"	"Putative uncharacterized protein DKFZp686G21220 (Fragment)"
"83"	53	"IPI:IPI00426060.3"	"IGHV3OR16-13;IGHA1"	"Putative uncharacterized protein DKFZp686J11235 (Fragment)"
"84"	53	"IPI:IPI00744561.1"	"IGHV3OR16-13;IGHA1"	"IGHA1 protein"
"85"	53	"IPI:IPI00719233.1"	"IGHV3OR16-13;IGHA1"	"IGHA1 protein"
"86"	54	"IPI:IPI00844536.2"	"RBP4"	"Uncharacterized protein RBP4"
"87"	54	"IPI:IPI00480192.1"	"RBP4"	"Retinol binding protein 4, plasma"
"88"	54	"IPI:IPI00022420.3"	"RBP4"	"Plasma retinol-binding protein precursor"
"89"	55	"IPI:IPI00550162.2"	"IGLV3-25"	"IGLV3-25 protein"
"90"	56	"IPI:IPI00654888.4"	"KLKB1"	"Plasma kallikrein precursor"
"91"	57	"IPI:IPI00303963.1"	"C2"	"Complement C2 precursor (Fragment)"
"92"	57	"IPI:IPI00643506.3"	"C2"	"Complement component 2"
"93"	58	"IPI:IPI00328609.3"	"SERPINA4"	"Kallistatin precursor"
"94"	59	"IPI:IPI00022426.1"	"AMBP"	"AMBP protein precursor"
"95"	60	"IPI:IPI00011261.2"	"C8G"	"Complement component C8 gamma chain precursor"
"96"	61	"IPI:IPI00006114.4"	"SERPINF1"	"Pigment epithelium-derived factor precursor"
"97"	62	"IPI:IPI00645849.1"	"ECM1"	"Extracellular matrix protein 1"
"98"	62	"IPI:IPI00003351.2"	"ECM1"	"Extracellular matrix protein 1 precursor"
"99"	63	"IPI:IPI00020986.2"	"LUM"	"Lumican precursor"
"100"	64	"IPI:IPI00011252.1"	"C8A"	"Complement component C8 alpha chain precursor"
"101"	65	"IPI:IPI00022429.3"	"ORM1"	"Alpha-1-acid glycoprotein 1 precursor"
"102"	66	"IPI:IPI00784998.1"	"-"	"Putative uncharacterized protein DKFZp686M24218"
"103"	66	"IPI:IPI00830132.1"	"IGHG4"	"Uncharacterized protein IGHG4 (Fragment)"
"104"	66	"IPI:IPI00550640.2"	"IGHG4"	"IGHG4 protein"
"105"	66	"IPI:IPI00829814.1"	"IGHG4"	"Ig gamma-4 chain C region"
"106"	67	"IPI:IPI00022417.4"	"LRG1"	"Leucine-rich alpha-2-glycoprotein precursor"
"107"	68	"IPI:IPI00292946.1"	"SERPINA7"	"Thyroxine-binding globulin precursor"
"108"	69	"IPI:IPI00218732.3"	"PON1"	"Serum paraoxonase/arylesterase 1"
"109"	70	"IPI:IPI00855916.1"	"-"	"Transthyretin"
"110"	70	"IPI:IPI00022432.1"	"TTR"	"Transthyretin precursor"
"111"	71	"IPI:IPI00394992.1"	"PGLYRP2"	"Isoform 2 of N-acetylmuramoyl-L-alanine amidase precursor"
"112"	71	"IPI:IPI00163207.1"	"PGLYRP2"	"Isoform 1 of N-acetylmuramoyl-L-alanine amidase precursor"
"113"	72	"IPI:IPI00220839.2"	"PRSS3"	"Protease, serine, 3"
"114"	72	"IPI:IPI00015614.3"	"PRSS3"	"Isoform A of Trypsin-3 precursor"
"115"	72	"IPI:IPI00385250.1"	"PRSS3"	"Protease serine 4 isoform B"
"116"	72	"IPI:IPI00843764.1"	"PRSS3"	"Isoform C of Trypsin-3 precursor"
"117"	73	"IPI:IPI00419744.4"	"FCN3"	"Isoform 2 of Ficolin-3 precursor"
"118"	73	"IPI:IPI00293925.2"	"FCN3"	"Isoform 1 of Ficolin-3 precursor"
"119"	74	"IPI:IPI00009028.1"	"CLEC3B"	"Tetranectin precursor"
"120"	74	"IPI:IPI00792115.1"	"CLEC3B"	"Putative uncharacterized protein DKFZp686H17246"
"121"	75	"IPI:IPI00167093.4"	"CFHR1"	"complement factor H-related 1"
"122"	75	"IPI:IPI00011264.1"	"CFHR1"	"Complement factor H-related protein 1 precursor"
"123"	75	"IPI:IPI00883722.1"	"CFHR1"	"FHR-1; complement Factor H-related protein 1"
"124"	76	"IPI:IPI00022394.2"	"C1QC"	"Complement C1q subcomponent subunit C precursor"
"125"	77	"IPI:IPI00026199.1"	"GPX3"	"Glutathione peroxidase 3 precursor"
"126"	78	"IPI:IPI00010295.1"	"CPN1"	"Carboxypeptidase N catalytic chain precursor"
"127"	79	"IPI:IPI00166729.4"	"AZGP1"	"alpha-2-glycoprotein 1, zinc"
"128"	80	"IPI:IPI00299503.2"	"GPLD1"	"Isoform 1 of Phosphatidylinositol-glycan-specific phospholipase D precursor"
"129"	81	"IPI:IPI00738433.1"	"CPN2"	"similar to Carboxypeptidase N subunit 2 precursor"
"130"	81	"IPI:IPI00479116.1"	"CPN2"	"Carboxypeptidase N subunit 2 precursor"
"131"	82	"IPI:IPI00746623.2"	"HABP2"	"Hyaluronan-binding protein 2 precursor"
"132"	83	"IPI:IPI00032311.4"	"LBP"	"Lipopolysaccharide-binding protein precursor"
"133"	84	"IPI:IPI00019576.1"	"F10"	"Coagulation factor X precursor"
"134"	85	"IPI:IPI00844156.2"	"SERPINC1"	"SERPINC1 protein"
"135"	86	"IPI:IPI00873445.1"	"PROS1"	"80 kDa protein"
"136"	86	"IPI:IPI00294004.1"	"PROS1"	"Vitamin K-dependent protein S precursor"
"137"	87	"IPI:IPI00029260.2"	"CD14"	"Monocyte differentiation antigen CD14 precursor"
"138"	88	"IPI:IPI00027827.2"	"SOD3"	"Extracellular superoxide dismutase [Cu-Zn] precursor"
"139"	89	"IPI:IPI00784627.1"	"-"	"Putative uncharacterized protein"
"140"	89	"IPI:IPI00784711.1"	"-"	"Putative uncharacterized protein"
"141"	89	"IPI:IPI00719373.1"	"IGL@"	"IGL@ protein"
"142"	89	"IPI:IPI00829640.1"	"IGL@"	"IGL@ protein"
"143"	89	"IPI:IPI00745660.2"	"IGL@"	"IGL@ protein"
"144"	89	"IPI:IPI00852577.1"	"IGLC1"	"IGLC1 protein"
"145"	89	"IPI:IPI00785164.1"	"-"	"Putative uncharacterized protein"
"146"	89	"IPI:IPI00784983.1"	"-"	"Putative uncharacterized protein"
"147"	89	"IPI:IPI00784713.1"	"-"	"Putative uncharacterized protein"
"148"	89	"IPI:IPI00784589.1"	"-"	"Putative uncharacterized protein DKFZp781M0386"
"149"	90	"IPI:IPI00329775.7"	"CPB2"	"Isoform 1 of Carboxypeptidase B2 precursor"
"150"	91	"IPI:IPI00743766.2"	"FETUB"	"Fetuin-B precursor"
"151"	91	"IPI:IPI00553061.1"	"FETUB"	"GUGU gamma form"
"152"	91	"IPI:IPI00552199.3"	"FETUB"	"GUGU beta form"
"153"	92	"IPI:IPI00020019.1"	"ADIPOQ"	"Adiponectin precursor"
"154"	93	"IPI:IPI00027235.1"	"ATRN"	"Isoform 1 of Attractin precursor"
"155"	93	"IPI:IPI00162735.3"	"ATRN"	"Isoform 2 of Attractin precursor"
"156"	93	"IPI:IPI00218460.6"	"ATRN"	"Isoform 3 of Attractin precursor"
"157"	94	"IPI:IPI00387116.1"	"-"	"Ig kappa chain V-III region NG9 precursor (Fragment)"
"158"	94	"IPI:IPI00761125.2"	"IGKC"	"IGKC protein"
"159"	94	"IPI:IPI00879329.1"	"IGKV3-20"	"Anti-(ED-B) scFV (Fragment)"
"160"	94	"IPI:IPI00384576.1"	"-"	"Ig kappa chain V-III region HIC precursor"
"161"	94	"IPI:IPI00030205.3"	"IGKV3-20"	"Ig kappa chain V-III region HAH precursor"
"162"	94	"IPI:IPI00387117.5"	"IGKV3D-20"	"Ig kappa chain V-III region Ti"
"163"	94	"IPI:IPI00387115.1"	"-"	"Ig kappa chain V-III region SIE"
"164"	94	"IPI:IPI00385252.1"	"-"	"Ig kappa chain V-III region GOL"
"165"	95	"IPI:IPI00004373.1"	"MBL2"	"Mannose-binding protein C precursor"
"166"	96	"IPI:IPI00643948.2"	"C1QB"	"Complement component 1, q subcomponent, B chain"
"167"	96	"IPI:IPI00477992.1"	"C1QB"	"complement component 1, q subcomponent, B chain precursor"
"168"	97	"IPI:IPI00019359.3"	"KRT9"	"Keratin, type I cytoskeletal 9"
"169"	98	"IPI:IPI00829956.1"	"-"	"Rheumatoid factor C6 light chain (Fragment)"
"170"	98	"IPI:IPI00829912.1"	"IGKV1-5"	"Ig kappa chain V-I region HK102 precursor"
"171"	98	"IPI:IPI00387026.1"	"-"	"Ig kappa chain V-I region EU"
"172"	99	"IPI:IPI00009865.2"	"KRT10"	"Keratin, type I cytoskeletal 10"
"173"	100	"IPI:IPI00759754.1"	"TTN"	"Isoform 1 of Titin"
"174"	100	"IPI:IPI00759542.1"	"TTN"	"Isoform 8 of Titin"
"175"	100	"IPI:IPI00749039.2"	"TTN"	"titin isoform N2-A"
"176"	100	"IPI:IPI00023283.3"	"TTN"	"Isoform 2 of Titin"
"177"	100	"IPI:IPI00179357.2"	"TTN"	"Isoform 7 of Titin"
"178"	100	"IPI:IPI00759637.1"	"TTN"	"Isoform 4 of Titin"
"179"	100	"IPI:IPI00759613.1"	"TTN"	"Isoform 5 of Titin"
"180"	100	"IPI:IPI00412307.8"	"TTN"	"2268 kDa protein"
"181"	100	"IPI:IPI00375499.2"	"TTN"	"titin isoform novex-2"
"182"	100	"IPI:IPI00375498.2"	"TTN"	"titin isoform novex-1"
"183"	100	"IPI:IPI00455173.4"	"TTN"	"Isoform 3 of Titin"
"184"	101	"IPI:IPI00021727.1"	"C4BPA"	"C4b-binding protein alpha chain precursor"
"185"	101	"IPI:IPI00872510.1"	"C4BPA"	"Uncharacterized protein C4BPA"
"186"	102	"IPI:IPI00064667.4"	"CNDP1"	"Beta-Ala-His dipeptidase precursor"
"187"	102	"IPI:IPI00749466.1"	"CNDP1"	"35 kDa protein"
"188"	103	"IPI:IPI00011695.8"	"PRSS2"	"Protease serine 2 isoform B"
"189"	103	"IPI:IPI00815665.1"	"PRSS1"	"PRSS1 protein"
"190"	103	"IPI:IPI00169276.2"	"-"	"Trypsinogen C"
"191"	103	"IPI:IPI00011694.1"	"PRSS1"	"Trypsin-1 precursor"
"192"	104	"IPI:IPI00829653.1"	"-"	"Uncharacterized protein ENSP00000374812"
"193"	104	"IPI:IPI00784430.3"	"IGKV3D-11"	"Similar to Ig kappa chain V-III region VG precursor"
"194"	104	"IPI:IPI00816799.1"	"-"	"Rheumatoid factor D5 light chain (Fragment)"
"195"	105	"IPI:IPI00003590.2"	"QSOX1"	"Isoform 1 of Sulfhydryl oxidase 1 precursor"
"196"	106	"IPI:IPI00021440.1"	"ACTG1;PSPHL"	"Actin, cytoplasmic 2"
"197"	106	"IPI:IPI00021439.1"	"ACTB"	"Actin, cytoplasmic 1"
"198"	106	"IPI:IPI00025416.3"	"ACTG2"	"Actin, gamma-enteric smooth muscle"
"199"	106	"IPI:IPI00023006.1"	"ACTC1"	"Actin, alpha cardiac muscle 1"
"200"	106	"IPI:IPI00021428.1"	"ACTA1"	"Actin, alpha skeletal muscle"
"201"	106	"IPI:IPI00008603.1"	"ACTA2"	"Actin, aortic smooth muscle"
"202"	106	"IPI:IPI00878173.1"	"ACTA1"	"Actin, alpha 1, skeletal muscle"
"203"	106	"IPI:IPI00514530.5"	"ACTA1"	"Uncharacterized protein ACTA1"
"204"	106	"IPI:IPI00414057.3"	"ACTA1"	"Actin alpha 1 skeletal muscle protein"
"205"	107	"IPI:IPI00020091.1"	"ORM2"	"Alpha-1-acid glycoprotein 2 precursor"
"206"	108	"IPI:IPI00744685.2"	"BTD"	"Uncharacterized protein BTD (Fragment)"
"207"	108	"IPI:IPI00218413.2"	"BTD"	"biotinidase precursor"
"208"	109	"IPI:IPI00220327.3"	"KRT1"	"Keratin, type II cytoskeletal 1"
"209"	110	"IPI:IPI00032293.1"	"CST3"	"Cystatin-C precursor"
"210"	111	"IPI:IPI00470652.1"	"-"	"Single-chain Fv (Fragment)"
"211"	111	"IPI:IPI00830130.1"	"-"	"Rheumatoid factor RF-ET7"
"212"	111	"IPI:IPI00829701.1"	"-"	"Uncharacterized protein ENSP00000375014"
"213"	112	"IPI:IPI00032258.4"	"C4A;C4B"	"Complement C4-A precursor"
"214"	112	"IPI:IPI00643525.1"	"C4A"	"Complement component 4A"
"215"	112	"IPI:IPI00654875.1"	"C4B"	"Complement C4-B precursor"
"216"	113	"IPI:IPI00418153.1"	"IGHM"	"Putative uncharacterized protein DKFZp686I15212"
"217"	113	"IPI:IPI00472345.1"	"IGHG3"	"IGHG3 protein"
"218"	113	"IPI:IPI00448938.1"	"IGHG1"	"IGHG1 protein"
"219"	113	"IPI:IPI00168728.1"	"IGHM"	"FLJ00385 protein (Fragment)"
"220"	113	"IPI:IPI00784894.1"	"-"	"Putative uncharacterized protein"
"221"	113	"IPI:IPI00829850.1"	"IGHG3"	"Protein"
"222"	113	"IPI:IPI00829940.1"	"IGHG3"	"Uncharacterized protein IGHG3 (Fragment)"
"223"	113	"IPI:IPI00829716.1"	"IGHG3"	"Uncharacterized protein IGHG3 (Fragment)"
"224"	113	"IPI:IPI00827754.2"	"IGHG3"	"C gamma 3"
"225"	113	"IPI:IPI00830033.1"	"IGHM"	"Full-length cDNA clone CS0DI019YF20 of Placenta of Homo sapiens (Fragment)"
"226"	113	"IPI:IPI00827627.1"	"-"	"Vh1-D-J3-region (Fragment)"
"227"	114	"IPI:IPI00385985.1"	"-"	"Ig lambda chain V-III region LOI"
"228"	114	"IPI:IPI00450309.1"	"IGL@"	"IGL@ protein"
"229"	114	"IPI:IPI00719452.1"	"IGL@"	"IGL@ protein"
"230"	114	"IPI:IPI00555945.1"	"IGL@"	"IGL@ protein"
"231"	114	"IPI:IPI00382938.3"	"IGLV4-3"	"IGLV4-3 protein"
"232"	114	"IPI:IPI00785050.1"	"-"	"Putative uncharacterized protein"
"233"	114	"IPI:IPI00785200.1"	"-"	"Putative uncharacterized protein"
"234"	114	"IPI:IPI00880175.1"	"IGLL1"	"19 kDa protein"
"235"	115	"IPI:IPI00242956.4"	"FCGBP"	"IgGFc-binding protein precursor"
"236"	115	"IPI:IPI00788189.1"	"FCGBP"	"similar to Fc fragment of IgG binding protein"
"237"	116	"IPI:IPI00007240.2"	"F13B"	"Coagulation factor XIII B chain precursor"
"238"	117	"IPI:IPI00884107.1"	"HBB"	"Beta-globin gene from a thalassemia patient"
"239"	117	"IPI:IPI00796636.9"	"HBB"	"Mutant beta globin"
"240"	117	"IPI:IPI00654755.3"	"HBB"	"Hemoglobin subunit beta"
"241"	117	"IPI:IPI00853641.1"	"HBE1"	"Uncharacterized protein HBE1"
"242"	117	"IPI:IPI00217471.3"	"HBE1"	"Hemoglobin subunit epsilon"
"243"	117	"IPI:IPI00657911.2"	"HBG2"	"Gamma-globin"
"244"	117	"IPI:IPI00816618.1"	"HBG2"	"Hemoglobin gamma-G (Fragment)"
"245"	117	"IPI:IPI00554676.2"	"HBG2;HBG1"	"Hemoglobin subunit gamma-2"
"246"	117	"IPI:IPI00830113.2"	"HBB"	"19 kDa protein"
"247"	117	"IPI:IPI00829896.1"	"HBD"	"Hemoglobin Lepore-Baltimore (Fragment)"
"248"	117	"IPI:IPI00791558.1"	"HBB"	"Delta-hemoglobin"
"249"	117	"IPI:IPI00657660.1"	"HBB"	"Hemoglobin delta-beta fusion protein"
"250"	117	"IPI:IPI00473011.3"	"HBB;HBD"	"Hemoglobin subunit delta"
"251"	117	"IPI:IPI00884436.1"	"-"	"Similar to Beta-hemoglobin"
"252"	117	"IPI:IPI00815947.1"	"HBB"	"Truncated beta-globin (Fragment)"
"253"	117	"IPI:IPI00749035.1"	"HBG2"	"Gamma-G globin"
"254"	117	"IPI:IPI00744503.1"	"HBG1"	"17 kDa protein"
"255"	117	"IPI:IPI00220706.10"	"HBG1"	"Hemoglobin subunit gamma-1"
"256"	118	"IPI:IPI00745872.2"	"ALB"	"Isoform 1 of Serum albumin precursor"
"257"	118	"IPI:IPI00022434.4"	"ALB"	"Uncharacterized protein ALB"
"258"	118	"IPI:IPI00878517.1"	"ALB"	"56 kDa protein"
"259"	118	"IPI:IPI00384697.2"	"ALB"	"Isoform 2 of Serum albumin precursor"
"260"	118	"IPI:IPI00216773.4"	"ALB"	"ALB protein"
"261"	119	"IPI:IPI00024284.4"	"HSPG2"	"Basement membrane-specific heparan sulfate proteoglycan core protein precursor"
"262"	120	"IPI:IPI00025426.2"	"PZP"	"Pregnancy zone protein precursor"
"263"	120	"IPI:IPI00748437.2"	"PZP"	"Uncharacterized protein PZP"
"264"	121	"IPI:IPI00296534.1"	"FBLN1"	"Isoform D of Fibulin-1 precursor"
"265"	121	"IPI:IPI00218803.2"	"FBLN1"	"Isoform B of Fibulin-1 precursor"
"266"	122	"IPI:IPI00165972.3"	"CFD"	"Complement factor D preproprotein"
"267"	123	"IPI:IPI00008494.4"	"ICAM1"	"Intercellular adhesion molecule 1 precursor"
"268"	123	"IPI:IPI00642425.1"	"ICAM1"	"Cell surface glycoprotein"
"269"	124	"IPI:IPI00218949.1"	"CFHR2"	"Isoform Short of Complement factor H-related protein 2 precursor"
"270"	124	"IPI:IPI00006154.1"	"CFHR2"	"Isoform Long of Complement factor H-related protein 2 precursor"
"271"	125	"IPI:IPI00007221.1"	"SERPINA5"	"Plasma serine protease inhibitor precursor"
"272"	126	"IPI:IPI00292218.4"	"MST1"	"Hepatocyte growth factor-like protein precursor"
"273"	126	"IPI:IPI00384647.1"	"MST1"	"Hepatocyte growth factor-like protein homolog"
"274"	127	"IPI:IPI00655927.1"	"PRG4"	"Isoform B of Proteoglycan-4 precursor"
"275"	127	"IPI:IPI00024825.2"	"PRG4"	"Isoform A of Proteoglycan-4 precursor"
"276"	127	"IPI:IPI00656111.1"	"PRG4"	"Isoform E of Proteoglycan-4 precursor"
"277"	127	"IPI:IPI00656092.1"	"PRG4"	"Isoform F of Proteoglycan-4 precursor"
"278"	127	"IPI:IPI00655976.1"	"PRG4"	"Isoform C of Proteoglycan-4 precursor"
"279"	127	"IPI:IPI00655676.1"	"PRG4"	"Isoform D of Proteoglycan-4 precursor"
"280"	128	"IPI:IPI00296176.2"	"F9"	"Coagulation factor IX precursor"
"281"	128	"IPI:IPI00816532.1"	"F9"	"Coagulation factor IX (Fragment)"
"282"	129	"IPI:IPI00016334.2"	"MCAM"	"Isoform 1 of Cell surface glycoprotein MUC18 precursor"
"283"	130	"IPI:IPI00385614.1"	"-"	"Ig kappa chain V-I region WAT"
"284"	130	"IPI:IPI00472961.2"	"IGKC"	"IGKC protein"
"285"	130	"IPI:IPI00784661.1"	"-"	"Putative uncharacterized protein"
"286"	130	"IPI:IPI00807459.1"	"IGKC"	"IGKC protein"
"287"	130	"IPI:IPI00003469.1"	"-"	"Ig kappa chain V-I region WEA"
"288"	130	"IPI:IPI00827485.1"	"-"	"BRE (Fragment)"
"289"	130	"IPI:IPI00387099.1"	"-"	"Ig kappa chain V-I region Rei"
"290"	130	"IPI:IPI00387022.1"	"-"	"Ig kappa chain V-I region AG"
"291"	130	"IPI:IPI00385556.1"	"-"	"Ig kappa chain V-I region Daudi precursor"
"292"	130	"IPI:IPI00387094.1"	"-"	"Ig kappa chain V-I region Hau"
"293"	130	"IPI:IPI00854582.1"	"-"	"Uncharacterized protein ENSP00000374793"
"294"	130	"IPI:IPI00829980.2"	"-"	"Myosin-reactive immunoglobulin light chain variable region (Fragment)"
"295"	130	"IPI:IPI00829804.1"	"-"	"13 kDa protein"
"296"	130	"IPI:IPI00024134.1"	"IGKC"	"Ig kappa chain V-I region Walker precursor"
"297"	130	"IPI:IPI00830122.1"	"-"	"A30"
"298"	130	"IPI:IPI00829699.1"	"-"	"V(k)3 sequence of NG9 gene from fetal liver DNA precursor"
"299"	130	"IPI:IPI00743963.1"	"IGKC"	"Ig kappa chain V-I region HK101 precursor (Fragment)"
"300"	130	"IPI:IPI00398220.1"	"-"	"Myosin-reactive immunoglobulin light chain variable region (Fragment)"
"301"	130	"IPI:IPI00384398.1"	"-"	"Myosin-reactive immunoglobulin light chain variable region (Fragment)"
