N	Accession	Gene_Symbol	Protein_Name	Unused
70	IPI00020986.2	LUM	Lumican precursor	10.97
71	IPI00022429.3	ORM1	Alpha-1-acid glycoprotein 1 precursor	10.59
72	IPI00010295.1	CPN1	Carboxypeptidase N catalytic chain precursor	10.05
73	IPI00004373.1	MBL2	Mannose-binding protein C precursor	10.02
74	IPI00784998.1	-	Putative uncharacterized protein DKFZp686M24218	10.01
74	IPI00830132.1	IGHG4	Uncharacterized protein IGHG4 (Fragment)	0.00
74	IPI00829814.1	IGHG4	Ig gamma-4 chain C region	0.00
74	IPI00550640.2	IGHG4	IGHG4 protein	0.00
75	IPI00215983.3	CA1	Carbonic anhydrase 1	10.00
75	IPI00796435.1	CA1	22 kDa protein	0.00
76	IPI00743766.2	FETUB	Fetuin-B precursor	9.72
77	IPI00021440.1	ACTG1;PSPHL	Actin, cytoplasmic 2	9.44
77	IPI00021439.1	ACTB	Actin, cytoplasmic 1	0.00
77	IPI00796881.1	ACTG1;PSPHL	16 kDa protein	0.00
77	IPI00790339.1	ACTG1;PSPHL	22 kDa protein	0.00
78	IPI00019576.1	F10	Coagulation factor X precursor	9.26
79	IPI00553177.1	SERPINA1	Isoform 1 of Alpha-1-antitrypsin precursor	9.18
80	IPI00796636.9	HBB	Mutant beta globin	9.10
80	IPI00884107.1	HBB	Beta-globin gene from a thalassemia patient	0.00
80	IPI00654755.3	HBB	Hemoglobin subunit beta	0.00
81	IPI00218949.1	CFHR2	Isoform Short of Complement factor H-related protein 2 precursor	8.96
81	IPI00006154.1	CFHR2	Isoform Long of Complement factor H-related protein 2 precursor	0.04
82	IPI00024825.2	PRG4	Isoform A of Proteoglycan-4 precursor	8.88
82	IPI00655927.1	PRG4	Isoform B of Proteoglycan-4 precursor	0.00
82	IPI00656111.1	PRG4	Isoform E of Proteoglycan-4 precursor	0.00
82	IPI00656092.1	PRG4	Isoform F of Proteoglycan-4 precursor	0.00
82	IPI00655976.1	PRG4	Isoform C of Proteoglycan-4 precursor	0.00
82	IPI00655676.1	PRG4	Isoform D of Proteoglycan-4 precursor	0.00
83	IPI00329775.7	CPB2	Isoform 1 of Carboxypeptidase B2 precursor	8.25
84	IPI00738433.1	CPN2	similar to Carboxypeptidase N subunit 2 precursor	8.22
84	IPI00479116.1	CPN2	Carboxypeptidase N subunit 2 precursor	0.00
85	IPI00788786.1	VWF	309 kDa protein	8.14
85	IPI00023014.1	VWF	von Willebrand factor precursor	0.00
86	IPI00419744.4	FCN3	Isoform 2 of Ficolin-3 precursor	8.05
86	IPI00293925.2	FCN3	Isoform 1 of Ficolin-3 precursor	0.00
87	IPI00218732.3	PON1	Serum paraoxonase/arylesterase 1	8.03
87	IPI00798167.1	PON1	32 kDa protein	0.00
88	IPI00556155.2	IGFBP3	insulin-like growth factor binding protein 3 isoform a precursor	7.56
88	IPI00018305.4	IGFBP3	Insulin-like growth factor-binding protein 3 precursor	0.00
88	IPI00855835.1	-	Insulin-like growth factor binding protein 3 isoform b	0.00
89	IPI00855916.1	-	Transthyretin	7.29
89	IPI00022432.1	TTR	Transthyretin precursor	0.00
90	IPI00029193.1	HGFAC	Hepatocyte growth factor activator precursor	7.26
91	IPI00012792.1	CDH5	Cadherin-5 precursor	7.18
91	IPI00607725.4	CDH5	cadherin 5, type 2 isoform 2 preproprotein	0.00
92	IPI00643948.2	C1QB	Complement component 1, q subcomponent, B chain	7.15
92	IPI00477992.1	C1QB	complement component 1, q subcomponent, B chain precursor	0.00
93	IPI00296176.2	F9	Coagulation factor IX precursor	6.99
94	IPI00847381.1	SEPP1	selenoprotein P isoform 2	6.96
94	IPI00029061.2	SEPP1	Selenoprotein P precursor	0.00
95	IPI00410714.5	HBA2;HBA1	Hemoglobin subunit alpha	6.95
95	IPI00853068.1	HBA2;HBA1	Alpha 2 globin variant (Fragment)	0.00
96	IPI00743248.5	TNXB	DJ34F7.1.1	6.92
96	IPI00025276.1	TNXB	Isoform XB of Tenascin-X precursor	0.00
96	IPI00644296.1	TNXB	Tenascin XB	0.00
97	IPI00872573.1	C1RL	48 kDa protein	6.77
97	IPI00795055.1	C1RL	CDNA FLJ14022 fis, clone HEMBA1003538, weakly similar to COMPLEMENT C1R COMPONENT	0.00
97	IPI00009793.3	C1RL	Complement C1r-like protein	0.00
98	IPI00025426.2	PZP	Pregnancy zone protein precursor	6.65
98	IPI00748437.2	PZP	Uncharacterized protein PZP	0.00
99	IPI00029260.2	CD14	Monocyte differentiation antigen CD14 precursor	6.63
100	IPI00009792.1	IGHV1OR15-1	Ig heavy chain V-I region V35 precursor	6.63
101	IPI00478809.3	F5	Coagulation factor V precursor	6.38
101	IPI00022937.4	F5	Coagulation factor V	0.00
102	IPI00549330.4	IGKV3D-15	Myosin-reactive immunoglobulin light chain variable region	6.28
102	IPI00384401.1	-	Myosin-reactive immunoglobulin kappa chain variable region (Fragment)	0.00
102	IPI00385253.1	-	Ig kappa chain V-III region CLL precursor	0.00
103	IPI00007221.1	SERPINA5	Plasma serine protease inhibitor precursor	6.15
104	IPI00022394.2	C1QC	Complement C1q subcomponent subunit C precursor	6.15
105	IPI00815665.1	PRSS1	PRSS1 protein	6.12
105	IPI00011695.8	PRSS2	Protease serine 2 isoform B	0.00
106	IPI00719373.1	IGL@	IGL@ protein	6.00
106	IPI00745660.2	IGL@	IGL@ protein	0.04
106	IPI00785164.1	-	Putative uncharacterized protein	0.02
106	IPI00784627.1	-	Putative uncharacterized protein	0.02
106	IPI00829640.1	IGL@	IGL@ protein	0.02
106	IPI00784713.1	-	Putative uncharacterized protein	0.02
106	IPI00852577.1	IGLC1	IGLC1 protein	0.00
106	IPI00784983.1	-	Putative uncharacterized protein	0.00
106	IPI00784589.1	-	Putative uncharacterized protein DKFZp781M0386	0.00
107	IPI00020019.1	ADIPOQ	Adiponectin precursor	6.00
108	IPI00003590.2	QSOX1	Isoform 1 of Sulfhydryl oxidase 1 precursor	5.78
109	IPI00844156.2	SERPINC1	SERPINC1 protein	5.70
110	IPI00023673.1	LGALS3BP	Galectin-3-binding protein precursor	5.15
111	IPI00386133.1	-	Ig kappa chain V-IV region B17 precursor	5.10
111	IPI00387120.1	-	Ig kappa chain V-IV region Len	0.00
111	IPI00386132.1	-	Ig kappa chain V-IV region JI precursor	0.00
111	IPI00026197.7	IGKV4-1	Similar to Ig kappa chain V-IV region precursor	0.00
112	IPI00294713.4	MASP2	Isoform 1 of Mannan-binding lectin serine protease 2 precursor	4.83
112	IPI00871793.2	MASP2	cDNA FLJ77090, highly similar to Homo sapiens mannan-binding lectin serine peptidase 2 (MASP2), transcript variant 1, mRNA	0.01
112	IPI00871597.1	MASP2	Uncharacterized protein MASP2 (Fragment)	0.00
112	IPI00306378.5	MASP2	Isoform 2 of Mannan-binding lectin serine protease 2 precursor	0.00
113	IPI00746623.2	HABP2	Hyaluronan-binding protein 2 precursor	4.80
114	IPI00166729.4	AZGP1	alpha-2-glycoprotein 1, zinc	4.80
115	IPI00878609.1	ITIH4	Protein	4.42
115	IPI00878152.1	ITIH4	71 kDa protein	0.00
116	IPI00007240.2	F13B	Coagulation factor XIII B chain precursor	4.21
117	IPI00884176.1	F13A1	coagulation factor XIII A1 subunit precursor	4.19
117	IPI00297550.8	F13A1	Coagulation factor XIII A chain precursor	0.00
118	IPI00220327.3	KRT1	Keratin, type II cytoskeletal 1	4.14
119	IPI00019359.3	KRT9	Keratin, type I cytoskeletal 9	4.07
120	IPI00025864.5	BCHE	Cholinesterase precursor	4.06
121	IPI00784817.1	IGHV4-31	Anti-RhD monoclonal T125 gamma1 heavy chain precursor	4.04
121	IPI00828061.1	-	Anti-mucin1 heavy chain variable region (Fragment)	0.01
121	IPI00384400.1	-	Myosin-reactive immunoglobulin heavy chain variable region (Fragment)	0.01
121	IPI00827846.1	-	Anti-mucin1 heavy chain variable region (Fragment)	0.01
121	IPI00477090.6	IGHM	IGHM protein	0.00
121	IPI00829806.1	SCFV	Immunglobulin heavy chain variable region (Fragment)	0.00
121	IPI00827960.1	-	Immunglobulin heavy chain precursor (Fragment)	0.00
121	IPI00829976.1	-	13 kDa protein	0.00
121	IPI00829747.1	-	Similar to Immunglobulin heavy chain variable region	0.00
121	IPI00884022.1	-	Similar to Immunglobulin heavy chain variable region	0.00
121	IPI00884080.1	-	Similar to Immunglobulin heavy chain variable region	0.00
121	IPI00382489.1	-	Ig heavy chain V-III region KOL	0.00
122	IPI00064667.4	CNDP1	Beta-Ala-His dipeptidase precursor	4.03
123	IPI00304273.2	APOA4	Apolipoprotein A-IV precursor	4.01
124	IPI00385250.1	PRSS3	Protease serine 4 isoform B	4.00
124	IPI00843764.1	PRSS3	Isoform C of Trypsin-3 precursor	0.00
124	IPI00220839.2	PRSS3	Protease, serine, 3	0.00
124	IPI00015614.3	PRSS3	Isoform A of Trypsin-3 precursor	0.00
125	IPI00744685.2	BTD	Uncharacterized protein BTD (Fragment)	4.00
125	IPI00218413.2	BTD	biotinidase precursor	0.00
126	IPI00514285.2	PTGDS	Prostaglandin D2 synthase 21kDa	4.00
126	IPI00013179.1	PTGDS	Prostaglandin-H2 D-isomerase precursor	0.00
126	IPI00514208.1	PTGDS	Prostaglandin D2 synthase 21kDa	0.00
126	IPI00513767.2	PTGDS	Prostaglandin D2 synthase 21kDa	0.00
127	IPI00854743.1	-	Uncharacterized protein ENSP00000375034	4.00
127	IPI00645363.2	IGHG1	Putative uncharacterized protein DKFZp686P15220	0.00
127	IPI00163446.3	IGHD	IGHD protein	0.00
127	IPI00829601.1	-	Similar to Immunglobulin heavy chain variable region	0.00
127	IPI00745363.4	LOC652113	Immunglobulin heavy chain variable region (Fragment)	0.00
128	IPI00884433.1	-	13 kDa protein	4.00
128	IPI00829600.1	-	Uncharacterized protein ENSP00000374803	0.00
128	IPI00743194.2	-	Kappa light chain variable region (Fragment)	0.00
128	IPI00550731.2	-	Putative uncharacterized protein	0.00
128	IPI00419424.3	IGKV1-5	IGKV1-5 protein	0.00
128	IPI00440577.3	IGKV2-24	IGKV2-24 protein	0.00
128	IPI00430808.2	IGKC	Immunoblobulin light chain (Fragment)	0.00
128	IPI00854806.1	IGKV1-5	IGKV1-5 protein	0.00
128	IPI00384397.1	-	Myosin-reactive immunoglobulin light chain variable region (Fragment)	0.00
128	IPI00827829.1	-	HRV Fab N8-VL (Fragment)	0.00
128	IPI00827773.1	-	Cold agglutinin FS-1 L-chain (Fragment)	0.00
128	IPI00743389.1	IGKV1-5	Ig kappa chain V-II region GM607 precursor (Fragment)	0.00
128	IPI00387107.3	IGKV2-40	Ig kappa chain V-II region Cum	0.00
128	IPI00829663.1	-	Uncharacterized protein ENSP00000374801	0.00
128	IPI00854709.1	-	Uncharacterized protein ENSP00000374799 (Fragment)	0.00
128	IPI00829947.1	-	13 kDa protein	0.00
128	IPI00829827.1	-	Uncharacterized protein ENSP00000374804	0.00
128	IPI00736885.1	LOC440786	Ig kappa chain V-II region TEW	0.00
128	IPI00387111.5	-	Uncharacterized protein ENSP00000333154	0.00
129	IPI00022417.4	LRG1	Leucine-rich alpha-2-glycoprotein precursor	3.78
130	IPI00242956.4	FCGBP	IgGFc-binding protein precursor	3.74
130	IPI00788189.1	FCGBP	similar to Fc fragment of IgG binding protein	0.00
131	IPI00022331.1	LCAT	Phosphatidylcholine-sterol acyltransferase precursor	3.70
132	IPI00296534.1	FBLN1	Isoform D of Fibulin-1 precursor	3.70
132	IPI00218803.2	FBLN1	Isoform B of Fibulin-1 precursor	0.00
133	IPI00395488.2	VASN	Vasorin precursor	3.67
134	IPI00871997.1	DBH	Dopamine beta-hydroxylase precursor	3.50
134	IPI00171678.4	DBH	Dopamine beta-hydroxylase	0.00
135	IPI00021304.1	KRT2	Keratin, type II cytoskeletal 2 epidermal	3.41
136	IPI00830035.1	-	Similar to Anti-streptococcal/anti-myosin immunoglobulin kappa light chain variable region	3.17
137	IPI00784430.3	IGKV3D-11	Similar to Ig kappa chain V-III region VG precursor	2.89
138	IPI00016334.2	MCAM	Isoform 1 of Cell surface glycoprotein MUC18 precursor	2.85
139	IPI00783993.1	IGHA2	IGHA2 protein	2.82
139	IPI00642017.1	IGHA2	Putative uncharacterized protein DKFZp686C02218 (Fragment)	0.09
139	IPI00785067.1	IGH@	IGH@ protein	0.02
139	IPI00384952.1	-	Putative uncharacterized protein DKFZp686K04218 (Fragment)	0.00
139	IPI00784950.1	LOC100126583	Putative uncharacterized protein DKFZp686L19235	0.00
139	IPI00784758.1	LOC100126583	Putative uncharacterized protein DKFZp686M08189	0.00
139	IPI00784830.1	LOC100126583	CDNA FLJ41981 fis, clone SMINT2011888, highly similar to Protein Tro alpha1 H,myeloma	0.00
139	IPI00423461.3	IGHA2	Putative uncharacterized protein DKFZp686C02220 (Fragment)	0.00
139	IPI00784969.1	LOC100126583	Putative uncharacterized protein	0.00
139	IPI00641229.3	IGHA2	Ig alpha-2 chain C region	0.00
139	IPI00829711.1	IGHA2	Uncharacterized protein IGHA2 (Fragment)	0.00
140	IPI00418153.1	IGHM	Putative uncharacterized protein DKFZp686I15212	2.77
140	IPI00448938.1	IGHG1	IGHG1 protein	0.00
140	IPI00827627.1	-	Vh1-D-J3-region (Fragment)	0.00
141	IPI00032311.4	LBP	Lipopolysaccharide-binding protein precursor	2.57
142	IPI00759754.1	TTN	Isoform 1 of Titin	2.36
142	IPI00759542.1	TTN	Isoform 8 of Titin	0.00
142	IPI00023283.3	TTN	Isoform 2 of Titin	0.00
142	IPI00759637.1	TTN	Isoform 4 of Titin	0.00
142	IPI00749039.2	TTN	titin isoform N2-A	0.00
142	IPI00179357.2	TTN	Isoform 7 of Titin	0.00
142	IPI00759613.1	TTN	Isoform 5 of Titin	0.00
142	IPI00412307.8	TTN	2268 kDa protein	0.00
142	IPI00455173.4	TTN	Isoform 3 of Titin	0.00
142	IPI00375499.2	TTN	titin isoform novex-2	0.00
142	IPI00375498.2	TTN	titin isoform novex-1	0.00
143	IPI00868938.1	-	Beta-2-microglobulin	2.25
143	IPI00796379.1	B2M	B2M protein	0.00
144	IPI00789795.1	ADAM22	98 kDa protein	2.20
144	IPI00220632.1	ADAM22	Isoform 3 of ADAM 22 precursor	0.00
144	IPI00000779.1	ADAM22	Isoform 1 of ADAM 22 precursor	0.00
144	IPI00220635.1	ADAM22	Isoform 5 of ADAM 22 precursor	0.00
144	IPI00220634.1	ADAM22	Isoform 4 of ADAM 22 precursor	0.00
144	IPI00220631.3	ADAM22	Isoform 2 of ADAM 22 precursor	0.00
145	IPI00219583.1	SHBG	Isoform 2 of Sex hormone-binding globulin precursor	2.19
145	IPI00023019.1	SHBG	Isoform 1 of Sex hormone-binding globulin precursor	0.00
146	IPI00783442.1	ATP10A	Probable phospholipid-transporting ATPase VA	2.19
147	IPI00024284.4	HSPG2	Basement membrane-specific heparan sulfate proteoglycan core protein precursor	2.18
148	IPI00844400.1	C1QA	23 kDa protein	2.17
148	IPI00022392.1	C1QA	Complement C1q subcomponent subunit A precursor	0.00
149	IPI00026199.1	GPX3	Glutathione peroxidase 3 precursor	2.12
150	IPI00760962.1	KANK2	Isoform 2 of Ankyrin repeat domain-containing protein 25	2.11
150	IPI00878953.1	APOE	MRNA for apolipoprotein E	0.01
150	IPI00021842.1	APOE	Apolipoprotein E precursor	0.01
150	IPI00760928.1	KANK2	Isoform 3 of Ankyrin repeat domain-containing protein 25	0.00
150	IPI00470559.2	KANK2	Isoform 1 of Ankyrin repeat domain-containing protein 25	0.00
150	IPI00013537.3	KANK2	CDNA FLJ20004 fis, clone ADKA02391	0.00
150	IPI00879456.1	APOE	25 kDa protein	0.00
150	IPI00879368.1	APOE	Apolipoprotein E	0.00
151	IPI00645313.2	CNTNAP3	Isoform 2 of Contactin-associated protein-like 3 precursor	2.10
151	IPI00001245.7	CNTNAP3	Isoform 1 of Contactin-associated protein-like 3 precursor	0.00
151	IPI00643809.1	CNTNAP3B	Protein	0.00
151	IPI00830111.2	CNTNAP3	Uncharacterized protein CNTNAP3	0.00
151	IPI00647097.1	CNTNAP3B	similar to Contactin-associated protein-like 3 precursor	0.00
151	IPI00619905.3	CNTNAP3	122 kDa protein	0.00
151	IPI00382526.4	CNTNAP3B	131 kDa protein	0.00
151	IPI00869069.1	CNTNAP3B	81 kDa protein	0.00
151	IPI00794588.1	RP11-138L21.1	CDNA FLJ30083 fis, clone BGGI12001097, weakly similar to Homo sapiens contactin associated protein (Caspr) mRNA	0.00
151	IPI00786977.1	CNTNAP3	similar to Contactin-associated protein-like 3 precursor	0.00
152	IPI00018219.1	TGFBI	Transforming growth factor-beta-induced protein ig-h3 precursor	2.09
153	IPI00021364.1	CFP	Properdin precursor	2.09
154	IPI00784942.1	-	Putative uncharacterized protein DKFZp686E23209	2.06
154	IPI00399007.5	IGHG2	Putative uncharacterized protein DKFZp686I04196 (Fragment)	0.03
154	IPI00426051.3	-	Putative uncharacterized protein DKFZp686C15213	0.00
154	IPI00784807.1	-	Putative uncharacterized protein	0.00
154	IPI00829767.1	IGHG2	Uncharacterized protein IGHG2 (Fragment)	0.00
155	IPI00021817.1	PROC	Vitamin K-dependent protein C precursor	2.04
156	IPI00816775.1	-	F5-20 (Fragment)	2.03
156	IPI00784842.1	IGHV4-31	Putative uncharacterized protein DKFZp686G11190	0.00
157	IPI00218326.1	SP100	Isoform Sp100-C of Nuclear autoantigen Sp-100	2.03
158	IPI00479471.2	SPATA13	Spermatogenesis associated 13	2.03
158	IPI00043546.5	SPATA13	Spermatogenesis-associated protein 13	0.00
159	IPI00218795.1	SELL	L-selectin precursor	2.03
159	IPI00296542.1	SELE	E-selectin precursor	0.00
159	IPI00646956.1	SELP	Selectin P	0.00
159	IPI00644144.1	SELP	Selectin P	0.00
159	IPI00643835.1	SELP	Selectin P	0.00
159	IPI00514233.1	SELP	Selectin P	0.00
159	IPI00295339.3	SELP	P-selectin precursor	0.00
159	IPI00645768.1	SELE	Selectin E	0.00
159	IPI00645234.1	SELP	Selectin P	0.00
159	IPI00640405.1	SELP	Selectin P	0.00
159	IPI00514796.1	SELP	Selectin P	0.00
159	IPI00514728.1	SELE	Selectin E	0.00
159	IPI00514521.1	SELE	Selectin E	0.00
159	IPI00514342.1	SELE	Selectin E	0.00
160	IPI00844035.1	NEBL	Nebulette	2.02
160	IPI00872370.1	NEBL	117 kDa protein	0.00
160	IPI00645083.1	NEBL	Nebulette	0.00
160	IPI00552618.1	NEBL	Nebulette	0.00
161	IPI00793949.2	MARCH10	Probable E3 ubiquitin-protein ligase MARCH10	2.02
162	IPI00828192.1	CD44	Isoform 17 of CD44 antigen precursor	2.01
162	IPI00828117.1	CD44	Isoform 5 of CD44 antigen precursor	0.00
162	IPI00828108.1	CD44	Isoform 15 of CD44 antigen precursor	0.00
162	IPI00828064.1	CD44	Isoform 6 of CD44 antigen precursor	0.00
162	IPI00828056.1	CD44	Isoform 16 of CD44 antigen precursor	0.00
162	IPI00827982.1	CD44	Isoform 13 of CD44 antigen precursor	0.00
162	IPI00827937.1	CD44	Isoform 14 of CD44 antigen precursor	0.00
162	IPI00827893.1	CD44	Isoform 11 of CD44 antigen precursor	0.00
162	IPI00827795.1	CD44	Isoform 8 of CD44 antigen precursor	0.00
162	IPI00827658.1	CD44	Isoform 7 of CD44 antigen precursor	0.00
162	IPI00827650.1	CD44	Isoform 3 of CD44 antigen precursor	0.00
162	IPI00827555.1	CD44	Isoform 9 of CD44 antigen precursor	0.00
162	IPI00798069.1	CD44	CD44 molecule	0.00
162	IPI00419219.3	CD44	Isoform 10 of CD44 antigen precursor	0.00
162	IPI00418465.4	CD44	Isoform 4 of CD44 antigen precursor	0.00
162	IPI00305064.1	CD44	Isoform CD44 of CD44 antigen precursor	0.00
162	IPI00297160.4	CD44	Isoform 12 of CD44 antigen precursor	0.00
163	IPI00387100.1	-	Ig kappa chain V-I region Roy	2.01
163	IPI00472961.2	IGKC	IGKC protein	0.00
163	IPI00784661.1	-	Putative uncharacterized protein	0.00
163	IPI00807459.1	IGKC	IGKC protein	0.00
163	IPI00003469.1	-	Ig kappa chain V-I region WEA	0.00
