N	Accession	Gene_Symbol	Protein_Name	Unused
24	IPI00032179.2	SERPINC1	Antithrombin III variant	42.77
25	IPI00641737.1	HP	Haptoglobin precursor	42.25
25	IPI00478493.3	HP	HP protein	0.00
26	IPI00009920.2	C6	Complement component 6 precursor	41.92
27	IPI00019943.1	AFM	Afamin precursor	38.38
28	IPI00296165.5	C1R;C17orf13;ACYP1	Complement C1r subcomponent precursor	37.97
29	IPI00291866.5	SERPING1	Plasma protease C1 inhibitor precursor	34.94
29	IPI00879931.1	SERPING1	cDNA FLJ78023, highly similar to Homo sapiens serine (or cysteine) proteinase inhibitor, clade G (C1inhibitor), member 1, (angioedema, hereditary) (SERPING1), mRNA	0.00
30	IPI00296608.6	C7	Complement component C7 precursor	33.82
31	IPI00828205.1	IGHM	IGHM protein	33.40
32	IPI00292950.4	SERPIND1	Serpin peptidase inhibitor, clade D (Heparin cofactor), member 1	33.26
32	IPI00879573.1	SERPIND1	Heparin cofactor 2 precursor	0.00
33	IPI00745872.2	ALB	Isoform 1 of Serum albumin precursor	33.15
33	IPI00022434.4	ALB	Uncharacterized protein ALB	0.00
34	IPI00298971.1	VTN	Vitronectin precursor	33.05
35	IPI00745089.2	A1BG	alpha 1B-glycoprotein precursor	32.86
35	IPI00022895.7	A1BG	Alpha-1B-glycoprotein precursor	0.00
36	IPI00022395.1	C9	Complement component C9 precursor	32.71
37	IPI00022431.1	AHSG	Alpha-2-HS-glycoprotein precursor	31.00
38	IPI00879231.1	SERPINF2	Alpha-2-antiplasmin precursor	30.46
38	IPI00029863.4	SERPINF2	SERPINF2 protein	0.00
39	IPI00021841.1	APOA1	Apolipoprotein A-I precursor	29.20
40	IPI00028413.8	ITIH3	Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor	28.58
40	IPI00876950.1	ITIH3	Isoform 2 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor	0.00
41	IPI00017696.1	C1S	Complement C1s subcomponent precursor	28.41
41	IPI00749179.2	C1S	Uncharacterized protein C1S	0.00
42	IPI00022371.1	HRG	Histidine-rich glycoprotein precursor	26.63
43	IPI00294395.1	C8B	Complement component C8 beta chain precursor	26.04
44	IPI00032220.3	AGT	Angiotensinogen precursor	26.04
45	IPI00298828.3	APOH	Beta-2-glycoprotein 1 precursor	25.50
46	IPI00291867.3	CFI	Complement factor I precursor	25.04
46	IPI00872555.2	CFI	cDNA FLJ76262, highly similar to Homo sapiens I factor (complement) (IF), mRNA	0.00
47	IPI00019581.1	F12	Coagulation factor XII precursor	23.12
48	IPI00400826.1	CLU	clusterin isoform 1	23.03
48	IPI00291262.3	CLU	Clusterin precursor	0.00
48	IPI00795633.1	CLU	CLU	0.00
49	IPI00386879.1	IGHV3OR16-13;IGHA1	CDNA FLJ14473 fis, clone MAMMA1001080, highly similar to Homo sapiens SNC73 protein (SNC73) mRNA	22.96
49	IPI00430842.3	IGHV3OR16-13;IGHA1	IGHA1 protein	0.38
49	IPI00744561.1	IGHV3OR16-13;IGHA1	IGHA1 protein	0.01
49	IPI00449920.1	IGHV3OR16-13;IGHA1	CDNA FLJ90170 fis, clone MAMMA1000370, highly similar to Ig alpha-1 chain C region	0.00
49	IPI00426060.3	IGHV3OR16-13;IGHA1	Putative uncharacterized protein DKFZp686J11235 (Fragment)	0.00
49	IPI00719233.1	IGHV3OR16-13;IGHA1	IGHA1 protein	0.00
49	IPI00423460.3	IGHV3OR16-13;IGHA1	Putative uncharacterized protein DKFZp686G21220 (Fragment)	0.00
50	IPI00761125.2	IGKC	IGKC protein	22.24
50	IPI00784985.1	IGK@	IGK@ protein	0.00
51	IPI00654888.4	KLKB1	Plasma kallikrein precursor	22.11
52	IPI00020996.3	IGFALS	Insulin-like growth factor-binding protein complex acid labile chain precursor	21.69
53	IPI00480192.1	RBP4	Retinol binding protein 4, plasma	21.28
53	IPI00022420.3	RBP4	Plasma retinol-binding protein precursor	0.00
53	IPI00844536.2	RBP4	Uncharacterized protein RBP4	0.00
54	IPI00328609.3	SERPINA4	Kallistatin precursor	21.08
55	IPI00829626.1	IGL@	IGL@ protein	20.15
55	IPI00550162.2	IGLV3-25	IGLV3-25 protein	0.01
56	IPI00303963.1	C2	Complement C2 precursor (Fragment)	19.94
57	IPI00011252.1	C8A	Complement component C8 alpha chain precursor	19.43
58	IPI00645849.1	ECM1	Extracellular matrix protein 1	17.82
58	IPI00003351.2	ECM1	Extracellular matrix protein 1 precursor	0.00
59	IPI00022391.1	APCS	Serum amyloid P-component precursor	17.52
60	IPI00022429.3	ORM1	Alpha-1-acid glycoprotein 1 precursor	16.40
61	IPI00020986.2	LUM	Lumican precursor	16.34
62	IPI00006114.4	SERPINF1	Pigment epithelium-derived factor precursor	16.05
63	IPI00553177.1	SERPINA1	Isoform 1 of Alpha-1-antitrypsin precursor	15.37
64	IPI00292946.1	SERPINA7	Thyroxine-binding globulin precursor	15.32
65	IPI00163207.1	PGLYRP2	Isoform 1 of N-acetylmuramoyl-L-alanine amidase precursor	15.21
65	IPI00394992.1	PGLYRP2	Isoform 2 of N-acetylmuramoyl-L-alanine amidase precursor	0.00
66	IPI00011261.2	C8G	Complement component C8 gamma chain precursor	14.22
67	IPI00784998.1	-	Putative uncharacterized protein DKFZp686M24218	13.86
68	IPI00009028.1	CLEC3B	Tetranectin precursor	12.47
69	IPI00027235.1	ATRN	Isoform 1 of Attractin precursor	12.21
69	IPI00162735.3	ATRN	Isoform 2 of Attractin precursor	0.00
69	IPI00218460.6	ATRN	Isoform 3 of Attractin precursor	0.00
70	IPI00025426.2	PZP	Pregnancy zone protein precursor	12.02
71	IPI00023019.1	SHBG	Isoform 1 of Sex hormone-binding globulin precursor	11.95
72	IPI00855916.1	-	Transthyretin	11.47
72	IPI00022432.1	TTR	Transthyretin precursor	0.00
73	IPI00022426.1	AMBP	AMBP protein precursor	11.42
74	IPI00010295.1	CPN1	Carboxypeptidase N catalytic chain precursor	10.30
75	IPI00299503.2	GPLD1	Isoform 1 of Phosphatidylinositol-glycan-specific phospholipase D precursor	10.13
76	IPI00021727.1	C4BPA	C4b-binding protein alpha chain precursor	9.61
77	IPI00654755.3	HBB	Hemoglobin subunit beta	9.23
78	IPI00873445.1	PROS1	80 kDa protein	8.90
78	IPI00294004.1	PROS1	Vitamin K-dependent protein S precursor	0.00
78	IPI00878131.1	PROS1	PS24	0.00
79	IPI00218732.3	PON1	Serum paraoxonase/arylesterase 1	8.73
80	IPI00026199.1	GPX3	Glutathione peroxidase 3 precursor	8.67
81	IPI00011694.1	PRSS1	Trypsin-1 precursor	8.66
82	IPI00019576.1	F10	Coagulation factor X precursor	8.37
83	IPI00410714.5	HBA2;HBA1	Hemoglobin subunit alpha	8.35
83	IPI00853068.1	HBA2;HBA1	Alpha 2 globin variant (Fragment)	0.00
84	IPI00643948.2	C1QB	Complement component 1, q subcomponent, B chain	8.34
84	IPI00477992.1	C1QB	complement component 1, q subcomponent, B chain precursor	0.00
85	IPI00004373.1	MBL2	Mannose-binding protein C precursor	8.26
86	IPI00743766.2	FETUB	Fetuin-B precursor	7.98
86	IPI00552199.3	FETUB	GUGU beta form	0.00
87	IPI00448938.1	IGHG1	IGHG1 protein	7.88
88	IPI00029260.2	CD14	Monocyte differentiation antigen CD14 precursor	7.39
89	IPI00032293.1	CST3	Cystatin-C precursor	6.70
90	IPI00020019.1	ADIPOQ	Adiponectin precursor	6.55
91	IPI00242956.4	FCGBP	IgGFc-binding protein precursor	6.38
91	IPI00788189.1	FCGBP	similar to Fc fragment of IgG binding protein	0.00
92	IPI00009793.3	C1RL	Complement C1r-like protein	6.32
92	IPI00872573.1	C1RL	48 kDa protein	0.00
92	IPI00795055.1	C1RL	CDNA FLJ14022 fis, clone HEMBA1003538, weakly similar to COMPLEMENT C1R COMPONENT	0.00
93	IPI00007240.2	F13B	Coagulation factor XIII B chain precursor	6.15
94	IPI00022394.2	C1QC	Complement C1q subcomponent subunit C precursor	6.15
95	IPI00329775.7	CPB2	Isoform 1 of Carboxypeptidase B2 precursor	6.10
95	IPI00293057.5	CPB2	Isoform 2 of Carboxypeptidase B2 precursor	0.00
96	IPI00746623.2	HABP2	Hyaluronan-binding protein 2 precursor	6.05
97	IPI00166729.4	AZGP1	alpha-2-glycoprotein 1, zinc	6.05
97	IPI00871596.1	AZGP1	Uncharacterized protein AZGP1 (Fragment)	0.03
98	IPI00829640.1	IGL@	IGL@ protein	6.03
98	IPI00784589.1	-	Putative uncharacterized protein DKFZp781M0386	0.02
98	IPI00719373.1	IGL@	IGL@ protein	0.00
98	IPI00785164.1	-	Putative uncharacterized protein	0.00
98	IPI00784627.1	-	Putative uncharacterized protein	0.00
98	IPI00745660.2	IGL@	IGL@ protein	0.00
98	IPI00852577.1	IGLC1	IGLC1 protein	0.00
98	IPI00784983.1	-	Putative uncharacterized protein	0.00
98	IPI00784713.1	-	Putative uncharacterized protein	0.00
99	IPI00179357.2	TTN	Isoform 7 of Titin	6.03
99	IPI00759542.1	TTN	Isoform 8 of Titin	0.01
99	IPI00759754.1	TTN	Isoform 1 of Titin	0.01
99	IPI00023283.3	TTN	Isoform 2 of Titin	0.01
99	IPI00759613.1	TTN	Isoform 5 of Titin	0.01
99	IPI00375499.2	TTN	titin isoform novex-2	0.01
99	IPI00375498.2	TTN	titin isoform novex-1	0.01
99	IPI00455173.4	TTN	Isoform 3 of Titin	0.01
99	IPI00749039.2	TTN	titin isoform N2-A	0.00
99	IPI00759637.1	TTN	Isoform 4 of Titin	0.00
99	IPI00412307.8	TTN	2268 kDa protein	0.00
100	IPI00296534.1	FBLN1	Isoform D of Fibulin-1 precursor	6.01
100	IPI00218803.2	FBLN1	Isoform B of Fibulin-1 precursor	0.00
101	IPI00029193.1	HGFAC	Hepatocyte growth factor activator precursor	6.00
102	IPI00022389.1	CRP	Isoform 1 of C-reactive protein precursor	5.89
102	IPI00642842.1	CRP	C-reactive protein, pentraxin-related	0.00
102	IPI00218876.3	CRP	Isoform 2 of C-reactive protein precursor	0.00
103	IPI00021304.1	KRT2	Keratin, type II cytoskeletal 2 epidermal	5.70
104	IPI00788786.1	VWF	309 kDa protein	5.58
104	IPI00023014.1	VWF	von Willebrand factor precursor	0.00
105	IPI00844156.2	SERPINC1	SERPINC1 protein	5.54
106	IPI00163446.3	IGHD	IGHD protein	5.52
106	IPI00418422.3	IGHD	IGHD protein	0.00
106	IPI00829636.1	IGHD	FLJ00382 protein (Fragment)	0.00
107	IPI00385253.1	-	Ig kappa chain V-III region CLL precursor	5.39
107	IPI00549330.4	IGKV3D-15	Myosin-reactive immunoglobulin light chain variable region	0.00
107	IPI00384401.1	-	Myosin-reactive immunoglobulin kappa chain variable region (Fragment)	0.00
107	IPI00387119.1	-	Ig kappa chain V-III region POM	0.00
107	IPI00024138.4	-	Uncharacterized protein ENSP00000374816	0.00
108	IPI00021440.1	ACTG1;PSPHL	Actin, cytoplasmic 2	5.28
108	IPI00021439.1	ACTB	Actin, cytoplasmic 1	0.00
108	IPI00878173.1	ACTA1	Actin, alpha 1, skeletal muscle	0.00
108	IPI00514530.5	ACTA1	Uncharacterized protein ACTA1	0.00
108	IPI00414057.3	ACTA1	Actin alpha 1 skeletal muscle protein	0.00
108	IPI00025416.3	ACTG2	Actin, gamma-enteric smooth muscle	0.00
108	IPI00023006.1	ACTC1	Actin, alpha cardiac muscle 1	0.00
108	IPI00021428.1	ACTA1	Actin, alpha skeletal muscle	0.00
108	IPI00008603.1	ACTA2	Actin, aortic smooth muscle	0.00
108	IPI00796881.1	ACTG1;PSPHL	16 kDa protein	0.00
108	IPI00790339.1	ACTG1;PSPHL	22 kDa protein	0.00
108	IPI00645534.1	ACTA2	Actin, alpha 2, smooth muscle, aorta	0.00
109	IPI00784894.1	-	Putative uncharacterized protein	5.23
109	IPI00472345.1	IGHG3	IGHG3 protein	0.04
109	IPI00418153.1	IGHM	Putative uncharacterized protein DKFZp686I15212	0.00
109	IPI00829850.1	IGHG3	Protein	0.00
109	IPI00168728.1	IGHM	FLJ00385 protein (Fragment)	0.00
109	IPI00829940.1	IGHG3	Uncharacterized protein IGHG3 (Fragment)	0.00
109	IPI00829716.1	IGHG3	Uncharacterized protein IGHG3 (Fragment)	0.00
109	IPI00827754.2	IGHG3	C gamma 3	0.00
109	IPI00830033.1	IGHM	Full-length cDNA clone CS0DI019YF20 of Placenta of Homo sapiens (Fragment)	0.00
110	IPI00738433.1	CPN2	similar to Carboxypeptidase N subunit 2 precursor	5.00
110	IPI00479116.1	CPN2	Carboxypeptidase N subunit 2 precursor	0.00
111	IPI00847381.1	SEPP1	selenoprotein P isoform 2	4.99
111	IPI00029061.2	SEPP1	Selenoprotein P precursor	0.00
112	IPI00032311.4	LBP	Lipopolysaccharide-binding protein precursor	4.94
113	IPI00064667.4	CNDP1	Beta-Ala-His dipeptidase precursor	4.88
114	IPI00022417.4	LRG1	Leucine-rich alpha-2-glycoprotein precursor	4.79
115	IPI00215983.3	CA1	Carbonic anhydrase 1	4.75
116	IPI00220327.3	KRT1	Keratin, type II cytoskeletal 1	4.43
117	IPI00829956.1	-	Rheumatoid factor C6 light chain (Fragment)	4.40
117	IPI00829912.1	IGKV1-5	Ig kappa chain V-I region HK102 precursor	0.00
117	IPI00387026.1	-	Ig kappa chain V-I region EU	0.00
118	IPI00844400.1	C1QA	23 kDa protein	4.38
118	IPI00022392.1	C1QA	Complement C1q subcomponent subunit A precursor	0.00
119	IPI00016334.2	MCAM	Isoform 1 of Cell surface glycoprotein MUC18 precursor	4.36
120	IPI00884176.1	F13A1	coagulation factor XIII A1 subunit precursor	4.29
120	IPI00297550.8	F13A1	Coagulation factor XIII A chain precursor	0.00
121	IPI00008494.4	ICAM1	Intercellular adhesion molecule 1 precursor	4.05
121	IPI00642425.1	ICAM1	Cell surface glycoprotein	0.00
122	IPI00478809.3	F5	Coagulation factor V precursor	4.03
122	IPI00022937.4	F5	Coagulation factor V	0.00
123	IPI00007199.4	SERPINA10	Protein Z-dependent protease inhibitor precursor	4.03
124	IPI00003590.2	QSOX1	Isoform 1 of Sulfhydryl oxidase 1 precursor	4.02
124	IPI00872013.1	QSOX1	Uncharacterized protein QSOX1	0.00
124	IPI00465016.7	QSOX1	Isoform 2 of Sulfhydryl oxidase 1 precursor	0.00
125	IPI00556155.2	IGFBP3	insulin-like growth factor binding protein 3 isoform a precursor	3.83
125	IPI00018305.4	IGFBP3	Insulin-like growth factor-binding protein 3 precursor	0.00
125	IPI00855835.1	-	Insulin-like growth factor binding protein 3 isoform b	0.00
126	IPI00419744.4	FCN3	Isoform 2 of Ficolin-3 precursor	3.54
126	IPI00293925.2	FCN3	Isoform 1 of Ficolin-3 precursor	0.00
127	IPI00868938.1	-	Beta-2-microglobulin	3.52
127	IPI00796379.1	B2M	B2M protein	0.00
127	IPI00004656.2	B2M	Beta-2-microglobulin	0.00
128	IPI00655927.1	PRG4	Isoform B of Proteoglycan-4 precursor	3.45
128	IPI00024825.2	PRG4	Isoform A of Proteoglycan-4 precursor	0.00
128	IPI00656092.1	PRG4	Isoform F of Proteoglycan-4 precursor	0.00
128	IPI00655976.1	PRG4	Isoform C of Proteoglycan-4 precursor	0.00
128	IPI00655676.1	PRG4	Isoform D of Proteoglycan-4 precursor	0.00
128	IPI00656111.1	PRG4	Isoform E of Proteoglycan-4 precursor	0.00
129	IPI00220839.2	PRSS3	Protease, serine, 3	3.42
129	IPI00015614.3	PRSS3	Isoform A of Trypsin-3 precursor	0.00
129	IPI00385250.1	PRSS3	Protease serine 4 isoform B	0.00
129	IPI00843764.1	PRSS3	Isoform C of Trypsin-3 precursor	0.00
130	IPI00021817.1	PROC	Vitamin K-dependent protein C precursor	3.23
131	IPI00020091.1	ORM2	Alpha-1-acid glycoprotein 2 precursor	3.22
132	IPI00884433.1	-	13 kDa protein	3.05
132	IPI00419424.3	IGKV1-5	IGKV1-5 protein	0.01
132	IPI00854806.1	IGKV1-5	IGKV1-5 protein	0.01
132	IPI00743389.1	IGKV1-5	Ig kappa chain V-II region GM607 precursor (Fragment)	0.01
132	IPI00827829.1	-	HRV Fab N8-VL (Fragment)	0.01
132	IPI00827773.1	-	Cold agglutinin FS-1 L-chain (Fragment)	0.01
132	IPI00829947.1	-	13 kDa protein	0.01
132	IPI00829600.1	-	Uncharacterized protein ENSP00000374803	0.00
132	IPI00743194.2	-	Kappa light chain variable region (Fragment)	0.00
132	IPI00430808.2	IGKC	Immunoblobulin light chain (Fragment)	0.00
132	IPI00550731.2	-	Putative uncharacterized protein	0.00
132	IPI00384397.1	-	Myosin-reactive immunoglobulin light chain variable region (Fragment)	0.00
132	IPI00736885.1	LOC440786	Ig kappa chain V-II region TEW	0.00
132	IPI00387107.3	IGKV2-40	Ig kappa chain V-II region Cum	0.00
132	IPI00829663.1	-	Uncharacterized protein ENSP00000374801	0.00
132	IPI00854709.1	-	Uncharacterized protein ENSP00000374799 (Fragment)	0.00
132	IPI00387111.5	-	Uncharacterized protein ENSP00000333154	0.00
133	IPI00007221.1	SERPINA5	Plasma serine protease inhibitor precursor	2.97
134	IPI00165972.3	CFD	Complement factor D preproprotein	2.89
135	IPI00847179.1	APOA4	apolipoprotein A-IV precursor	2.82
136	IPI00294713.4	MASP2	Isoform 1 of Mannan-binding lectin serine protease 2 precursor	2.80
136	IPI00871597.1	MASP2	Uncharacterized protein MASP2 (Fragment)	0.00
136	IPI00306378.5	MASP2	Isoform 2 of Mannan-binding lectin serine protease 2 precursor	0.00
137	IPI00387120.1	-	Ig kappa chain V-IV region Len	2.71
137	IPI00386133.1	-	Ig kappa chain V-IV region B17 precursor	0.00
137	IPI00386132.1	-	Ig kappa chain V-IV region JI precursor	0.00
137	IPI00026197.7	IGKV4-1	Similar to Ig kappa chain V-IV region precursor	0.00
137	IPI00385143.1	-	Microfibrillar protein 2 (Fragment)	0.00
138	IPI00470652.1	-	Single-chain Fv (Fragment)	2.58
138	IPI00061977.1	IGHV3OR16-13;IGHA1	IGHA1 protein	0.00
138	IPI00830130.1	-	Rheumatoid factor RF-ET7	0.00
138	IPI00829701.1	-	Uncharacterized protein ENSP00000375014	0.00
138	IPI00384410.1	-	Myosin-reactive immunoglobulin heavy chain variable region (Fragment)	0.00
138	IPI00384409.1	-	Myosin-reactive immunoglobulin heavy chain variable region (Fragment)	0.00
139	IPI00025864.5	BCHE	Cholinesterase precursor	2.58
139	IPI00604549.1	LOC646743;INPP5D	Isoform 2 of Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1	0.02
139	IPI00329213.2	LOC646743;INPP5D	Isoform 1 of Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1	0.02
140	IPI00878609.1	ITIH4	Protein	2.42
140	IPI00878152.1	ITIH4	71 kDa protein	0.00
141	IPI00023673.1	LGALS3BP	Galectin-3-binding protein precursor	2.41
142	IPI00387025.1	-	Ig kappa chain V-I region DEE	2.40
143	IPI00296176.2	F9	Coagulation factor IX precursor	2.27
143	IPI00816532.1	F9	Coagulation factor IX (Fragment)	0.00
144	IPI00021854.1	APOA2	Apolipoprotein A-II precursor	2.25
145	IPI00010471.5	LCP1	Plastin-2	2.18
145	IPI00646259.1	LCP1	Lymphocyte cytosolic protein 1	0.00
146	IPI00783993.1	IGHA2	IGHA2 protein	2.15
146	IPI00384952.1	-	Putative uncharacterized protein DKFZp686K04218 (Fragment)	0.01
146	IPI00785067.1	IGH@	IGH@ protein	0.00
146	IPI00784950.1	LOC100126583	Putative uncharacterized protein DKFZp686L19235	0.00
146	IPI00784830.1	LOC100126583	CDNA FLJ41981 fis, clone SMINT2011888, highly similar to Protein Tro alpha1 H,myeloma	0.00
146	IPI00784758.1	LOC100126583	Putative uncharacterized protein DKFZp686M08189	0.00
146	IPI00784969.1	LOC100126583	Putative uncharacterized protein	0.00
146	IPI00642017.1	IGHA2	Putative uncharacterized protein DKFZp686C02218 (Fragment)	0.00
146	IPI00641229.3	IGHA2	Ig alpha-2 chain C region	0.00
146	IPI00423461.3	IGHA2	Putative uncharacterized protein DKFZp686C02220 (Fragment)	0.00
146	IPI00829711.1	IGHA2	Uncharacterized protein IGHA2 (Fragment)	0.00
147	IPI00644296.1	TNXB	Tenascin XB	2.15
147	IPI00743248.5	TNXB	DJ34F7.1.1	0.00
147	IPI00025276.1	TNXB	Isoform XB of Tenascin-X precursor	0.00
148	IPI00784807.1	-	Putative uncharacterized protein	2.10
148	IPI00399007.5	IGHG2	Putative uncharacterized protein DKFZp686I04196 (Fragment)	0.00
148	IPI00426051.3	-	Putative uncharacterized protein DKFZp686C15213	0.00
148	IPI00784942.1	-	Putative uncharacterized protein DKFZp686E23209	0.00
148	IPI00829767.1	IGHG2	Uncharacterized protein IGHG2 (Fragment)	0.00
149	IPI00303335.1	NEB	Nebulin	2.10
149	IPI00873123.1	NEB	nebulin	0.00
149	IPI00384095.1	NEB	NEB protein (Fragment)	0.00
150	IPI00449028.2	ADAMTS13	Isoform 1 of ADAMTS-13 precursor	2.08
150	IPI00453457.2	ADAMTS13	Isoform 2 of ADAMTS-13 precursor	0.00
150	IPI00427822.2	ADAMTS13	Isoform 3 of ADAMTS-13 precursor	0.00
150	IPI00645987.1	ADAMTS13	25 kDa protein	0.00
150	IPI00642388.1	ADAMTS13	ADAMTS13 protein	0.00
151	IPI00423462.5	IGHV3OR16-13;IGHA1	Putative uncharacterized protein DKFZp686K18196 (Fragment)	2.06
151	IPI00784817.1	IGHV4-31	Anti-RhD monoclonal T125 gamma1 heavy chain precursor	0.00
151	IPI00477090.6	IGHM	IGHM protein	0.00
151	IPI00829976.1	-	13 kDa protein	0.00
151	IPI00829806.1	SCFV	Immunglobulin heavy chain variable region (Fragment)	0.00
151	IPI00829747.1	-	Similar to Immunglobulin heavy chain variable region	0.00
151	IPI00827960.1	-	Immunglobulin heavy chain precursor (Fragment)	0.00
151	IPI00736507.2	IGHV3-30	Immunglobulin heavy chain variable region (Fragment)	0.00
151	IPI00784513.1	-	Immunglobulin heavy chain variable region (Fragment)	0.00
151	IPI00783023.1	-	Immunglobulin heavy chain variable region (Fragment)	0.00
151	IPI00828061.1	-	Anti-mucin1 heavy chain variable region (Fragment)	0.00
151	IPI00884022.1	-	Similar to Immunglobulin heavy chain variable region	0.00
151	IPI00783471.1	-	Immunglobulin heavy chain variable region (Fragment)	0.00
151	IPI00783451.1	-	Immunglobulin heavy chain variable region (Fragment)	0.00
151	IPI00783909.1	-	Immunglobulin heavy chain variable region (Fragment)	0.00
151	IPI00783244.1	IGHV3-30	Immunglobulin heavy chain variable region (Fragment)	0.00
151	IPI00748665.3	IGHV3-30	Immunglobulin heavy chain variable region (Fragment)	0.00
151	IPI00413194.1	-	Myosin-reactive immunoglobulin heavy chain variable region (Fragment)	0.00
151	IPI00783818.1	-	Immunglobulin heavy chain variable region (Fragment)	0.00
151	IPI00884080.1	-	Similar to Immunglobulin heavy chain variable region	0.00
151	IPI00783116.1	-	Immunglobulin heavy chain variable region (Fragment)	0.00
151	IPI00382489.1	-	Ig heavy chain V-III region KOL	0.00
151	IPI00384400.1	-	Myosin-reactive immunoglobulin heavy chain variable region (Fragment)	0.00
151	IPI00783393.1	-	Immunglobulin heavy chain variable region (Fragment)	0.00
151	IPI00827846.1	-	Anti-mucin1 heavy chain variable region (Fragment)	0.00
152	IPI00024284.4	HSPG2	Basement membrane-specific heparan sulfate proteoglycan core protein precursor	2.06
153	IPI00395488.2	VASN	Vasorin precursor	2.05
154	IPI00009865.2	KRT10	Keratin, type I cytoskeletal 10	2.04
155	IPI00879084.1	CP	20 kDa protein	2.02
156	IPI00418163.3	C4B	C4B1	2.00
157	IPI00654875.1	C4B	Complement C4-B precursor	2.00
157	IPI00032258.4	C4A;C4B	Complement C4-A precursor	0.00
158	IPI00742696.2	GC	vitamin D-binding protein precursor	2.00
159	IPI00430847.1	IGKC	IGKC protein	2.00
159	IPI00829650.1	-	Similar to Ig kappa chain V-I region HK101 precursor	0.00
159	IPI00003470.1	-	Ig kappa chain V-I region Wes	0.00
160	IPI00827488.1	IGKC	IGKC protein	2.00
160	IPI00829873.1	-	13 kDa protein	0.00
161	IPI00385264.1	-	Ig mu heavy chain disease protein	2.00
162	IPI00169276.2	-	Trypsinogen C	2.00
163	IPI00296537.3	FBLN1	Isoform C of Fibulin-1 precursor	2.00
164	IPI00829836.1	-	Uncharacterized protein ENSP00000374797	2.00
164	IPI00385555.1	-	Ig kappa chain V-I region BAN	0.00
165	IPI00397808.3	LOC388720	similar to ubiquitin and ribosomal protein S27a precursor	2.00
165	IPI00418813.2	-	CDNA FLJ46113 fis, clone TESTI2036285, highly similar to Rattus norvegicus ubiquitin C	0.00
165	IPI00794205.1	-	26 kDa protein	0.00
165	IPI00873444.1	UBC;RPS27A;UBB	79 kDa protein	0.00
165	IPI00798155.3	UBC;RPS27A;UBB	Ubiquitin C splice variant	0.00
165	IPI00798127.1	UBC;RPS27A;UBB	ubiquitin C	0.00
