"N"	"Accession"	"Gene_Symbol"	"Protein_Name"
"30"	18	"IPI:IPI00797833.3"	"KNG1"	"Kininogen 1"
"31"	18	"IPI:IPI00215894.1"	"KNG1"	"Isoform LMW of Kininogen-1 precursor"
"32"	19	"IPI:IPI00019568.1"	"F2"	"Prothrombin precursor (Fragment)"
"33"	20	"IPI:IPI00292530.1"	"ITIH1"	"Inter-alpha-trypsin inhibitor heavy chain H1 precursor"
"34"	21	"IPI:IPI00026314.1"	"GSN"	"Isoform 1 of Gelsolin precursor"
"35"	22	"IPI:IPI00550991.3"	"SERPINA3"	"Alpha-1-antichymotrypsin precursor"
"36"	22	"IPI:IPI00847635.1"	"SERPINA3"	"Isoform 1 of Alpha-1-antichymotrypsin precursor"
"37"	23	"IPI:IPI00472610.2"	"IGHM"	"IGHM protein"
"38"	24	"IPI:IPI00032179.2"	"SERPINC1"	"Antithrombin III variant"
"39"	25	"IPI:IPI00641737.1"	"HP"	"Haptoglobin precursor"
"40"	25	"IPI:IPI00478493.3"	"HP"	"HP protein"
"41"	26	"IPI:IPI00009920.2"	"C6"	"Complement component 6 precursor"
"42"	27	"IPI:IPI00019943.1"	"AFM"	"Afamin precursor"
"43"	28	"IPI:IPI00296165.5"	"C1R;C17orf13;ACYP1"	"Complement C1r subcomponent precursor"
"44"	29	"IPI:IPI00291866.5"	"SERPING1"	"Plasma protease C1 inhibitor precursor"
"45"	29	"IPI:IPI00879931.1"	"SERPING1"	"cDNA FLJ78023, highly similar to Homo sapiens serine (or cysteine) proteinase inhibitor, clade G (C1inhibitor), member 1, (angioedema, hereditary) (SERPING1), mRNA"
"46"	30	"IPI:IPI00296608.6"	"C7"	"Complement component C7 precursor"
"47"	31	"IPI:IPI00828205.1"	"IGHM"	"IGHM protein"
"48"	32	"IPI:IPI00292950.4"	"SERPIND1"	"Serpin peptidase inhibitor, clade D (Heparin cofactor), member 1"
"49"	32	"IPI:IPI00879573.1"	"SERPIND1"	"Heparin cofactor 2 precursor"
"50"	33	"IPI:IPI00745872.2"	"ALB"	"Isoform 1 of Serum albumin precursor"
"51"	33	"IPI:IPI00022434.4"	"ALB"	"Uncharacterized protein ALB"
"52"	34	"IPI:IPI00298971.1"	"VTN"	"Vitronectin precursor"
"53"	35	"IPI:IPI00745089.2"	"A1BG"	"alpha 1B-glycoprotein precursor"
"54"	35	"IPI:IPI00022895.7"	"A1BG"	"Alpha-1B-glycoprotein precursor"
"55"	36	"IPI:IPI00022395.1"	"C9"	"Complement component C9 precursor"
"56"	37	"IPI:IPI00022431.1"	"AHSG"	"Alpha-2-HS-glycoprotein precursor"
"57"	38	"IPI:IPI00879231.1"	"SERPINF2"	"Alpha-2-antiplasmin precursor"
"58"	38	"IPI:IPI00029863.4"	"SERPINF2"	"SERPINF2 protein"
"59"	39	"IPI:IPI00021841.1"	"APOA1"	"Apolipoprotein A-I precursor"
"60"	40	"IPI:IPI00028413.8"	"ITIH3"	"Isoform 1 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor"
"61"	40	"IPI:IPI00876950.1"	"ITIH3"	"Isoform 2 of Inter-alpha-trypsin inhibitor heavy chain H3 precursor"
"62"	41	"IPI:IPI00017696.1"	"C1S"	"Complement C1s subcomponent precursor"
"63"	41	"IPI:IPI00749179.2"	"C1S"	"Uncharacterized protein C1S"
"64"	42	"IPI:IPI00022371.1"	"HRG"	"Histidine-rich glycoprotein precursor"
"65"	43	"IPI:IPI00294395.1"	"C8B"	"Complement component C8 beta chain precursor"
"66"	44	"IPI:IPI00032220.3"	"AGT"	"Angiotensinogen precursor"
"67"	45	"IPI:IPI00298828.3"	"APOH"	"Beta-2-glycoprotein 1 precursor"
"68"	46	"IPI:IPI00291867.3"	"CFI"	"Complement factor I precursor"
"69"	46	"IPI:IPI00872555.2"	"CFI"	"cDNA FLJ76262, highly similar to Homo sapiens I factor (complement) (IF), mRNA"
"70"	47	"IPI:IPI00019581.1"	"F12"	"Coagulation factor XII precursor"
"71"	48	"IPI:IPI00400826.1"	"CLU"	"clusterin isoform 1"
"72"	48	"IPI:IPI00291262.3"	"CLU"	"Clusterin precursor"
"73"	48	"IPI:IPI00795633.1"	"CLU"	"CLU"
"74"	49	"IPI:IPI00386879.1"	"IGHV3OR16-13;IGHA1"	"CDNA FLJ14473 fis, clone MAMMA1001080, highly similar to Homo sapiens SNC73 protein (SNC73) mRNA"
"75"	49	"IPI:IPI00430842.3"	"IGHV3OR16-13;IGHA1"	"IGHA1 protein"
"76"	49	"IPI:IPI00744561.1"	"IGHV3OR16-13;IGHA1"	"IGHA1 protein"
"77"	49	"IPI:IPI00449920.1"	"IGHV3OR16-13;IGHA1"	"CDNA FLJ90170 fis, clone MAMMA1000370, highly similar to Ig alpha-1 chain C region"
"78"	49	"IPI:IPI00426060.3"	"IGHV3OR16-13;IGHA1"	"Putative uncharacterized protein DKFZp686J11235 (Fragment)"
"79"	49	"IPI:IPI00719233.1"	"IGHV3OR16-13;IGHA1"	"IGHA1 protein"
"80"	49	"IPI:IPI00423460.3"	"IGHV3OR16-13;IGHA1"	"Putative uncharacterized protein DKFZp686G21220 (Fragment)"
"81"	50	"IPI:IPI00761125.2"	"IGKC"	"IGKC protein"
"82"	50	"IPI:IPI00784985.1"	"IGK@"	"IGK@ protein"
"83"	51	"IPI:IPI00654888.4"	"KLKB1"	"Plasma kallikrein precursor"
"84"	52	"IPI:IPI00020996.3"	"IGFALS"	"Insulin-like growth factor-binding protein complex acid labile chain precursor"
"85"	53	"IPI:IPI00480192.1"	"RBP4"	"Retinol binding protein 4, plasma"
"86"	53	"IPI:IPI00022420.3"	"RBP4"	"Plasma retinol-binding protein precursor"
"87"	53	"IPI:IPI00844536.2"	"RBP4"	"Uncharacterized protein RBP4"
"88"	54	"IPI:IPI00328609.3"	"SERPINA4"	"Kallistatin precursor"
"89"	55	"IPI:IPI00829626.1"	"IGL@"	"IGL@ protein"
"90"	55	"IPI:IPI00550162.2"	"IGLV3-25"	"IGLV3-25 protein"
"91"	56	"IPI:IPI00303963.1"	"C2"	"Complement C2 precursor (Fragment)"
"92"	57	"IPI:IPI00011252.1"	"C8A"	"Complement component C8 alpha chain precursor"
"93"	58	"IPI:IPI00645849.1"	"ECM1"	"Extracellular matrix protein 1"
"94"	58	"IPI:IPI00003351.2"	"ECM1"	"Extracellular matrix protein 1 precursor"
"95"	59	"IPI:IPI00022391.1"	"APCS"	"Serum amyloid P-component precursor"
"96"	60	"IPI:IPI00022429.3"	"ORM1"	"Alpha-1-acid glycoprotein 1 precursor"
"97"	61	"IPI:IPI00020986.2"	"LUM"	"Lumican precursor"
"98"	62	"IPI:IPI00006114.4"	"SERPINF1"	"Pigment epithelium-derived factor precursor"
"99"	63	"IPI:IPI00553177.1"	"SERPINA1"	"Isoform 1 of Alpha-1-antitrypsin precursor"
"100"	64	"IPI:IPI00292946.1"	"SERPINA7"	"Thyroxine-binding globulin precursor"
"101"	65	"IPI:IPI00163207.1"	"PGLYRP2"	"Isoform 1 of N-acetylmuramoyl-L-alanine amidase precursor"
"102"	65	"IPI:IPI00394992.1"	"PGLYRP2"	"Isoform 2 of N-acetylmuramoyl-L-alanine amidase precursor"
"103"	66	"IPI:IPI00011261.2"	"C8G"	"Complement component C8 gamma chain precursor"
"104"	67	"IPI:IPI00784998.1"	"-"	"Putative uncharacterized protein DKFZp686M24218"
"105"	68	"IPI:IPI00009028.1"	"CLEC3B"	"Tetranectin precursor"
"106"	69	"IPI:IPI00027235.1"	"ATRN"	"Isoform 1 of Attractin precursor"
"107"	69	"IPI:IPI00162735.3"	"ATRN"	"Isoform 2 of Attractin precursor"
"108"	69	"IPI:IPI00218460.6"	"ATRN"	"Isoform 3 of Attractin precursor"
"109"	70	"IPI:IPI00025426.2"	"PZP"	"Pregnancy zone protein precursor"
"110"	71	"IPI:IPI00023019.1"	"SHBG"	"Isoform 1 of Sex hormone-binding globulin precursor"
"111"	72	"IPI:IPI00855916.1"	"-"	"Transthyretin"
"112"	72	"IPI:IPI00022432.1"	"TTR"	"Transthyretin precursor"
"113"	73	"IPI:IPI00022426.1"	"AMBP"	"AMBP protein precursor"
"114"	74	"IPI:IPI00010295.1"	"CPN1"	"Carboxypeptidase N catalytic chain precursor"
"115"	75	"IPI:IPI00299503.2"	"GPLD1"	"Isoform 1 of Phosphatidylinositol-glycan-specific phospholipase D precursor"
"116"	76	"IPI:IPI00021727.1"	"C4BPA"	"C4b-binding protein alpha chain precursor"
"117"	77	"IPI:IPI00654755.3"	"HBB"	"Hemoglobin subunit beta"
"118"	78	"IPI:IPI00873445.1"	"PROS1"	"80 kDa protein"
"119"	78	"IPI:IPI00294004.1"	"PROS1"	"Vitamin K-dependent protein S precursor"
"120"	78	"IPI:IPI00878131.1"	"PROS1"	"PS24"
"121"	79	"IPI:IPI00218732.3"	"PON1"	"Serum paraoxonase/arylesterase 1"
"122"	80	"IPI:IPI00026199.1"	"GPX3"	"Glutathione peroxidase 3 precursor"
"123"	81	"IPI:IPI00011694.1"	"PRSS1"	"Trypsin-1 precursor"
"124"	82	"IPI:IPI00019576.1"	"F10"	"Coagulation factor X precursor"
"125"	83	"IPI:IPI00410714.5"	"HBA2;HBA1"	"Hemoglobin subunit alpha"
"126"	83	"IPI:IPI00853068.1"	"HBA2;HBA1"	"Alpha 2 globin variant (Fragment)"
"127"	84	"IPI:IPI00643948.2"	"C1QB"	"Complement component 1, q subcomponent, B chain"
"128"	84	"IPI:IPI00477992.1"	"C1QB"	"complement component 1, q subcomponent, B chain precursor"
"129"	85	"IPI:IPI00004373.1"	"MBL2"	"Mannose-binding protein C precursor"
"130"	86	"IPI:IPI00743766.2"	"FETUB"	"Fetuin-B precursor"
"131"	86	"IPI:IPI00552199.3"	"FETUB"	"GUGU beta form"
"132"	87	"IPI:IPI00448938.1"	"IGHG1"	"IGHG1 protein"
"133"	88	"IPI:IPI00029260.2"	"CD14"	"Monocyte differentiation antigen CD14 precursor"
"134"	89	"IPI:IPI00032293.1"	"CST3"	"Cystatin-C precursor"
"135"	90	"IPI:IPI00020019.1"	"ADIPOQ"	"Adiponectin precursor"
"136"	91	"IPI:IPI00242956.4"	"FCGBP"	"IgGFc-binding protein precursor"
"137"	91	"IPI:IPI00788189.1"	"FCGBP"	"similar to Fc fragment of IgG binding protein"
"138"	92	"IPI:IPI00009793.3"	"C1RL"	"Complement C1r-like protein"
"139"	92	"IPI:IPI00872573.1"	"C1RL"	"48 kDa protein"
"140"	92	"IPI:IPI00795055.1"	"C1RL"	"CDNA FLJ14022 fis, clone HEMBA1003538, weakly similar to COMPLEMENT C1R COMPONENT"
"141"	93	"IPI:IPI00007240.2"	"F13B"	"Coagulation factor XIII B chain precursor"
"142"	94	"IPI:IPI00022394.2"	"C1QC"	"Complement C1q subcomponent subunit C precursor"
"143"	95	"IPI:IPI00329775.7"	"CPB2"	"Isoform 1 of Carboxypeptidase B2 precursor"
"144"	95	"IPI:IPI00293057.5"	"CPB2"	"Isoform 2 of Carboxypeptidase B2 precursor"
"145"	96	"IPI:IPI00746623.2"	"HABP2"	"Hyaluronan-binding protein 2 precursor"
"146"	97	"IPI:IPI00166729.4"	"AZGP1"	"alpha-2-glycoprotein 1, zinc"
"147"	97	"IPI:IPI00871596.1"	"AZGP1"	"Uncharacterized protein AZGP1 (Fragment)"
"148"	98	"IPI:IPI00829640.1"	"IGL@"	"IGL@ protein"
"149"	98	"IPI:IPI00784589.1"	"-"	"Putative uncharacterized protein DKFZp781M0386"
"150"	98	"IPI:IPI00719373.1"	"IGL@"	"IGL@ protein"
"151"	98	"IPI:IPI00785164.1"	"-"	"Putative uncharacterized protein"
"152"	98	"IPI:IPI00784627.1"	"-"	"Putative uncharacterized protein"
"153"	98	"IPI:IPI00745660.2"	"IGL@"	"IGL@ protein"
"154"	98	"IPI:IPI00852577.1"	"IGLC1"	"IGLC1 protein"
"155"	98	"IPI:IPI00784983.1"	"-"	"Putative uncharacterized protein"
"156"	98	"IPI:IPI00784713.1"	"-"	"Putative uncharacterized protein"
"157"	99	"IPI:IPI00179357.2"	"TTN"	"Isoform 7 of Titin"
"158"	99	"IPI:IPI00759542.1"	"TTN"	"Isoform 8 of Titin"
"159"	99	"IPI:IPI00759754.1"	"TTN"	"Isoform 1 of Titin"
"160"	99	"IPI:IPI00023283.3"	"TTN"	"Isoform 2 of Titin"
"161"	99	"IPI:IPI00759613.1"	"TTN"	"Isoform 5 of Titin"
"162"	99	"IPI:IPI00375499.2"	"TTN"	"titin isoform novex-2"
"163"	99	"IPI:IPI00375498.2"	"TTN"	"titin isoform novex-1"
"164"	99	"IPI:IPI00455173.4"	"TTN"	"Isoform 3 of Titin"
"165"	99	"IPI:IPI00749039.2"	"TTN"	"titin isoform N2-A"
"166"	99	"IPI:IPI00759637.1"	"TTN"	"Isoform 4 of Titin"
"167"	99	"IPI:IPI00412307.8"	"TTN"	"2268 kDa protein"
"168"	100	"IPI:IPI00296534.1"	"FBLN1"	"Isoform D of Fibulin-1 precursor"
"169"	100	"IPI:IPI00218803.2"	"FBLN1"	"Isoform B of Fibulin-1 precursor"
"170"	101	"IPI:IPI00029193.1"	"HGFAC"	"Hepatocyte growth factor activator precursor"
"171"	102	"IPI:IPI00022389.1"	"CRP"	"Isoform 1 of C-reactive protein precursor"
"172"	102	"IPI:IPI00642842.1"	"CRP"	"C-reactive protein, pentraxin-related"
"173"	102	"IPI:IPI00218876.3"	"CRP"	"Isoform 2 of C-reactive protein precursor"
"174"	103	"IPI:IPI00021304.1"	"KRT2"	"Keratin, type II cytoskeletal 2 epidermal"
"175"	104	"IPI:IPI00788786.1"	"VWF"	"309 kDa protein"
"176"	104	"IPI:IPI00023014.1"	"VWF"	"von Willebrand factor precursor"
"177"	105	"IPI:IPI00844156.2"	"SERPINC1"	"SERPINC1 protein"
"178"	106	"IPI:IPI00163446.3"	"IGHD"	"IGHD protein"
"179"	106	"IPI:IPI00418422.3"	"IGHD"	"IGHD protein"
"180"	106	"IPI:IPI00829636.1"	"IGHD"	"FLJ00382 protein (Fragment)"
"181"	107	"IPI:IPI00385253.1"	"-"	"Ig kappa chain V-III region CLL precursor"
"182"	107	"IPI:IPI00549330.4"	"IGKV3D-15"	"Myosin-reactive immunoglobulin light chain variable region"
"183"	107	"IPI:IPI00384401.1"	"-"	"Myosin-reactive immunoglobulin kappa chain variable region (Fragment)"
"184"	107	"IPI:IPI00387119.1"	"-"	"Ig kappa chain V-III region POM"
"185"	107	"IPI:IPI00024138.4"	"-"	"Uncharacterized protein ENSP00000374816"
"186"	108	"IPI:IPI00021440.1"	"ACTG1;PSPHL"	"Actin, cytoplasmic 2"
"187"	108	"IPI:IPI00021439.1"	"ACTB"	"Actin, cytoplasmic 1"
"188"	108	"IPI:IPI00878173.1"	"ACTA1"	"Actin, alpha 1, skeletal muscle"
"189"	108	"IPI:IPI00514530.5"	"ACTA1"	"Uncharacterized protein ACTA1"
"190"	108	"IPI:IPI00414057.3"	"ACTA1"	"Actin alpha 1 skeletal muscle protein"
"191"	108	"IPI:IPI00025416.3"	"ACTG2"	"Actin, gamma-enteric smooth muscle"
"192"	108	"IPI:IPI00023006.1"	"ACTC1"	"Actin, alpha cardiac muscle 1"
"193"	108	"IPI:IPI00021428.1"	"ACTA1"	"Actin, alpha skeletal muscle"
"194"	108	"IPI:IPI00008603.1"	"ACTA2"	"Actin, aortic smooth muscle"
"195"	108	"IPI:IPI00796881.1"	"ACTG1;PSPHL"	"16 kDa protein"
"196"	108	"IPI:IPI00790339.1"	"ACTG1;PSPHL"	"22 kDa protein"
"197"	108	"IPI:IPI00645534.1"	"ACTA2"	"Actin, alpha 2, smooth muscle, aorta"
"198"	109	"IPI:IPI00784894.1"	"-"	"Putative uncharacterized protein"
"199"	109	"IPI:IPI00472345.1"	"IGHG3"	"IGHG3 protein"
"200"	109	"IPI:IPI00418153.1"	"IGHM"	"Putative uncharacterized protein DKFZp686I15212"
"201"	109	"IPI:IPI00829850.1"	"IGHG3"	"Protein"
"202"	109	"IPI:IPI00168728.1"	"IGHM"	"FLJ00385 protein (Fragment)"
"203"	109	"IPI:IPI00829940.1"	"IGHG3"	"Uncharacterized protein IGHG3 (Fragment)"
"204"	109	"IPI:IPI00829716.1"	"IGHG3"	"Uncharacterized protein IGHG3 (Fragment)"
"205"	109	"IPI:IPI00827754.2"	"IGHG3"	"C gamma 3"
"206"	109	"IPI:IPI00830033.1"	"IGHM"	"Full-length cDNA clone CS0DI019YF20 of Placenta of Homo sapiens (Fragment)"
"207"	110	"IPI:IPI00738433.1"	"CPN2"	"similar to Carboxypeptidase N subunit 2 precursor"
"208"	110	"IPI:IPI00479116.1"	"CPN2"	"Carboxypeptidase N subunit 2 precursor"
"209"	111	"IPI:IPI00847381.1"	"SEPP1"	"selenoprotein P isoform 2"
"210"	111	"IPI:IPI00029061.2"	"SEPP1"	"Selenoprotein P precursor"
"211"	112	"IPI:IPI00032311.4"	"LBP"	"Lipopolysaccharide-binding protein precursor"
"212"	113	"IPI:IPI00064667.4"	"CNDP1"	"Beta-Ala-His dipeptidase precursor"
"213"	114	"IPI:IPI00022417.4"	"LRG1"	"Leucine-rich alpha-2-glycoprotein precursor"
"214"	115	"IPI:IPI00215983.3"	"CA1"	"Carbonic anhydrase 1"
"215"	116	"IPI:IPI00220327.3"	"KRT1"	"Keratin, type II cytoskeletal 1"
"216"	117	"IPI:IPI00829956.1"	"-"	"Rheumatoid factor C6 light chain (Fragment)"
"217"	117	"IPI:IPI00829912.1"	"IGKV1-5"	"Ig kappa chain V-I region HK102 precursor"
"218"	117	"IPI:IPI00387026.1"	"-"	"Ig kappa chain V-I region EU"
"219"	118	"IPI:IPI00844400.1"	"C1QA"	"23 kDa protein"
"220"	118	"IPI:IPI00022392.1"	"C1QA"	"Complement C1q subcomponent subunit A precursor"
"221"	119	"IPI:IPI00016334.2"	"MCAM"	"Isoform 1 of Cell surface glycoprotein MUC18 precursor"
"222"	120	"IPI:IPI00884176.1"	"F13A1"	"coagulation factor XIII A1 subunit precursor"
"223"	120	"IPI:IPI00297550.8"	"F13A1"	"Coagulation factor XIII A chain precursor"
"224"	121	"IPI:IPI00008494.4"	"ICAM1"	"Intercellular adhesion molecule 1 precursor"
"225"	121	"IPI:IPI00642425.1"	"ICAM1"	"Cell surface glycoprotein"
"226"	122	"IPI:IPI00478809.3"	"F5"	"Coagulation factor V precursor"
"227"	122	"IPI:IPI00022937.4"	"F5"	"Coagulation factor V"
"228"	123	"IPI:IPI00007199.4"	"SERPINA10"	"Protein Z-dependent protease inhibitor precursor"
"229"	124	"IPI:IPI00003590.2"	"QSOX1"	"Isoform 1 of Sulfhydryl oxidase 1 precursor"
"230"	124	"IPI:IPI00872013.1"	"QSOX1"	"Uncharacterized protein QSOX1"
"231"	124	"IPI:IPI00465016.7"	"QSOX1"	"Isoform 2 of Sulfhydryl oxidase 1 precursor"
"232"	125	"IPI:IPI00556155.2"	"IGFBP3"	"insulin-like growth factor binding protein 3 isoform a precursor"
"233"	125	"IPI:IPI00018305.4"	"IGFBP3"	"Insulin-like growth factor-binding protein 3 precursor"
"234"	125	"IPI:IPI00855835.1"	"-"	"Insulin-like growth factor binding protein 3 isoform b"
"235"	126	"IPI:IPI00419744.4"	"FCN3"	"Isoform 2 of Ficolin-3 precursor"
"236"	126	"IPI:IPI00293925.2"	"FCN3"	"Isoform 1 of Ficolin-3 precursor"
"237"	127	"IPI:IPI00868938.1"	"-"	"Beta-2-microglobulin"
"238"	127	"IPI:IPI00796379.1"	"B2M"	"B2M protein"
"239"	127	"IPI:IPI00004656.2"	"B2M"	"Beta-2-microglobulin"
"240"	128	"IPI:IPI00655927.1"	"PRG4"	"Isoform B of Proteoglycan-4 precursor"
"241"	128	"IPI:IPI00024825.2"	"PRG4"	"Isoform A of Proteoglycan-4 precursor"
"242"	128	"IPI:IPI00656092.1"	"PRG4"	"Isoform F of Proteoglycan-4 precursor"
"243"	128	"IPI:IPI00655976.1"	"PRG4"	"Isoform C of Proteoglycan-4 precursor"
"244"	128	"IPI:IPI00655676.1"	"PRG4"	"Isoform D of Proteoglycan-4 precursor"
"245"	128	"IPI:IPI00656111.1"	"PRG4"	"Isoform E of Proteoglycan-4 precursor"
"246"	129	"IPI:IPI00220839.2"	"PRSS3"	"Protease, serine, 3"
"247"	129	"IPI:IPI00015614.3"	"PRSS3"	"Isoform A of Trypsin-3 precursor"
"248"	129	"IPI:IPI00385250.1"	"PRSS3"	"Protease serine 4 isoform B"
"249"	129	"IPI:IPI00843764.1"	"PRSS3"	"Isoform C of Trypsin-3 precursor"
"250"	130	"IPI:IPI00021817.1"	"PROC"	"Vitamin K-dependent protein C precursor"
"251"	131	"IPI:IPI00020091.1"	"ORM2"	"Alpha-1-acid glycoprotein 2 precursor"
"252"	132	"IPI:IPI00884433.1"	"-"	"13 kDa protein"
"253"	132	"IPI:IPI00829600.1"	"-"	"Uncharacterized protein ENSP00000374803"
"254"	132	"IPI:IPI00743194.2"	"-"	"Kappa light chain variable region (Fragment)"
"255"	132	"IPI:IPI00419424.3"	"IGKV1-5"	"IGKV1-5 protein"
"256"	132	"IPI:IPI00854806.1"	"IGKV1-5"	"IGKV1-5 protein"
"257"	132	"IPI:IPI00743389.1"	"IGKV1-5"	"Ig kappa chain V-II region GM607 precursor (Fragment)"
"258"	132	"IPI:IPI00827829.1"	"-"	"HRV Fab N8-VL (Fragment)"
"259"	132	"IPI:IPI00827773.1"	"-"	"Cold agglutinin FS-1 L-chain (Fragment)"
"260"	132	"IPI:IPI00829947.1"	"-"	"13 kDa protein"
"261"	132	"IPI:IPI00430808.2"	"IGKC"	"Immunoblobulin light chain (Fragment)"
"262"	132	"IPI:IPI00550731.2"	"-"	"Putative uncharacterized protein"
"263"	132	"IPI:IPI00384397.1"	"-"	"Myosin-reactive immunoglobulin light chain variable region (Fragment)"
"264"	132	"IPI:IPI00736885.1"	"LOC440786"	"Ig kappa chain V-II region TEW"
"265"	132	"IPI:IPI00387107.3"	"IGKV2-40"	"Ig kappa chain V-II region Cum"
"266"	132	"IPI:IPI00829663.1"	"-"	"Uncharacterized protein ENSP00000374801"
"267"	132	"IPI:IPI00854709.1"	"-"	"Uncharacterized protein ENSP00000374799 (Fragment)"
"268"	132	"IPI:IPI00387111.5"	"-"	"Uncharacterized protein ENSP00000333154"
"269"	133	"IPI:IPI00007221.1"	"SERPINA5"	"Plasma serine protease inhibitor precursor"
"270"	134	"IPI:IPI00165972.3"	"CFD"	"Complement factor D preproprotein"
"271"	135	"IPI:IPI00847179.1"	"APOA4"	"apolipoprotein A-IV precursor"
"272"	136	"IPI:IPI00294713.4"	"MASP2"	"Isoform 1 of Mannan-binding lectin serine protease 2 precursor"
"273"	136	"IPI:IPI00871597.1"	"MASP2"	"Uncharacterized protein MASP2 (Fragment)"
"274"	136	"IPI:IPI00306378.5"	"MASP2"	"Isoform 2 of Mannan-binding lectin serine protease 2 precursor"
"275"	137	"IPI:IPI00387120.1"	"-"	"Ig kappa chain V-IV region Len"
"276"	137	"IPI:IPI00386133.1"	"-"	"Ig kappa chain V-IV region B17 precursor"
"277"	137	"IPI:IPI00386132.1"	"-"	"Ig kappa chain V-IV region JI precursor"
"278"	137	"IPI:IPI00026197.7"	"IGKV4-1"	"Similar to Ig kappa chain V-IV region precursor"
"279"	137	"IPI:IPI00385143.1"	"-"	"Microfibrillar protein 2 (Fragment)"
"280"	138	"IPI:IPI00470652.1"	"-"	"Single-chain Fv (Fragment)"
"281"	138	"IPI:IPI00061977.1"	"IGHV3OR16-13;IGHA1"	"IGHA1 protein"
"282"	138	"IPI:IPI00830130.1"	"-"	"Rheumatoid factor RF-ET7"
"283"	138	"IPI:IPI00829701.1"	"-"	"Uncharacterized protein ENSP00000375014"
"284"	138	"IPI:IPI00384410.1"	"-"	"Myosin-reactive immunoglobulin heavy chain variable region (Fragment)"
"285"	138	"IPI:IPI00384409.1"	"-"	"Myosin-reactive immunoglobulin heavy chain variable region (Fragment)"
"286"	139	"IPI:IPI00025864.5"	"BCHE"	"Cholinesterase precursor"
"287"	139	"IPI:IPI00604549.1"	"LOC646743;INPP5D"	"Isoform 2 of Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1"
"288"	139	"IPI:IPI00329213.2"	"LOC646743;INPP5D"	"Isoform 1 of Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1"
"289"	140	"IPI:IPI00878609.1"	"ITIH4"	"Protein"
"290"	140	"IPI:IPI00878152.1"	"ITIH4"	"71 kDa protein"
"291"	141	"IPI:IPI00023673.1"	"LGALS3BP"	"Galectin-3-binding protein precursor"
"292"	142	"IPI:IPI00387025.1"	"-"	"Ig kappa chain V-I region DEE"
"293"	143	"IPI:IPI00296176.2"	"F9"	"Coagulation factor IX precursor"
"294"	143	"IPI:IPI00816532.1"	"F9"	"Coagulation factor IX (Fragment)"
"295"	144	"IPI:IPI00021854.1"	"APOA2"	"Apolipoprotein A-II precursor"
