N	Accession	Gene_Symbol	Protein_Name	Unused
81	IPI00479116.1	CPN2	Carboxypeptidase N subunit 2 precursor	0.00
82	IPI00746623.2	HABP2	Hyaluronan-binding protein 2 precursor	6.89
83	IPI00032311.4	LBP	Lipopolysaccharide-binding protein precursor	6.69
84	IPI00019576.1	F10	Coagulation factor X precursor	6.69
85	IPI00844156.2	SERPINC1	SERPINC1 protein	6.17
86	IPI00873445.1	PROS1	80 kDa protein	6.07
86	IPI00294004.1	PROS1	Vitamin K-dependent protein S precursor	0.00
87	IPI00029260.2	CD14	Monocyte differentiation antigen CD14 precursor	6.07
88	IPI00027827.2	SOD3	Extracellular superoxide dismutase [Cu-Zn] precursor	6.07
89	IPI00784627.1	-	Putative uncharacterized protein	6.03
89	IPI00784711.1	-	Putative uncharacterized protein	0.01
89	IPI00719373.1	IGL@	IGL@ protein	0.00
89	IPI00829640.1	IGL@	IGL@ protein	0.00
89	IPI00745660.2	IGL@	IGL@ protein	0.00
89	IPI00852577.1	IGLC1	IGLC1 protein	0.00
89	IPI00785164.1	-	Putative uncharacterized protein	0.00
89	IPI00784983.1	-	Putative uncharacterized protein	0.00
89	IPI00784713.1	-	Putative uncharacterized protein	0.00
89	IPI00784589.1	-	Putative uncharacterized protein DKFZp781M0386	0.00
90	IPI00329775.7	CPB2	Isoform 1 of Carboxypeptidase B2 precursor	6.02
91	IPI00743766.2	FETUB	Fetuin-B precursor	6.00
91	IPI00553061.1	FETUB	GUGU gamma form	0.00
91	IPI00552199.3	FETUB	GUGU beta form	0.00
92	IPI00020019.1	ADIPOQ	Adiponectin precursor	6.00
93	IPI00027235.1	ATRN	Isoform 1 of Attractin precursor	5.56
93	IPI00162735.3	ATRN	Isoform 2 of Attractin precursor	0.00
93	IPI00218460.6	ATRN	Isoform 3 of Attractin precursor	0.00
94	IPI00387116.1	-	Ig kappa chain V-III region NG9 precursor (Fragment)	5.44
94	IPI00761125.2	IGKC	IGKC protein	0.00
94	IPI00879329.1	IGKV3-20	Anti-(ED-B) scFV (Fragment)	0.00
94	IPI00384576.1	-	Ig kappa chain V-III region HIC precursor	0.00
94	IPI00030205.3	IGKV3-20	Ig kappa chain V-III region HAH precursor	0.00
94	IPI00387117.5	IGKV3D-20	Ig kappa chain V-III region Ti	0.00
94	IPI00387115.1	-	Ig kappa chain V-III region SIE	0.00
94	IPI00385252.1	-	Ig kappa chain V-III region GOL	0.00
95	IPI00004373.1	MBL2	Mannose-binding protein C precursor	5.43
96	IPI00643948.2	C1QB	Complement component 1, q subcomponent, B chain	5.32
96	IPI00477992.1	C1QB	complement component 1, q subcomponent, B chain precursor	0.00
97	IPI00019359.3	KRT9	Keratin, type I cytoskeletal 9	5.27
98	IPI00829956.1	-	Rheumatoid factor C6 light chain (Fragment)	5.25
98	IPI00829912.1	IGKV1-5	Ig kappa chain V-I region HK102 precursor	0.00
98	IPI00387026.1	-	Ig kappa chain V-I region EU	0.00
99	IPI00009865.2	KRT10	Keratin, type I cytoskeletal 10	5.16
100	IPI00759754.1	TTN	Isoform 1 of Titin	5.05
100	IPI00759542.1	TTN	Isoform 8 of Titin	0.00
100	IPI00749039.2	TTN	titin isoform N2-A	0.00
100	IPI00023283.3	TTN	Isoform 2 of Titin	0.00
100	IPI00179357.2	TTN	Isoform 7 of Titin	0.00
100	IPI00759637.1	TTN	Isoform 4 of Titin	0.00
100	IPI00759613.1	TTN	Isoform 5 of Titin	0.00
100	IPI00412307.8	TTN	2268 kDa protein	0.00
100	IPI00375499.2	TTN	titin isoform novex-2	0.00
100	IPI00375498.2	TTN	titin isoform novex-1	0.00
100	IPI00455173.4	TTN	Isoform 3 of Titin	0.00
101	IPI00021727.1	C4BPA	C4b-binding protein alpha chain precursor	4.88
101	IPI00872510.1	C4BPA	Uncharacterized protein C4BPA	0.00
102	IPI00064667.4	CNDP1	Beta-Ala-His dipeptidase precursor	4.85
102	IPI00749466.1	CNDP1	35 kDa protein	0.00
103	IPI00011695.8	PRSS2	Protease serine 2 isoform B	4.56
103	IPI00815665.1	PRSS1	PRSS1 protein	0.00
103	IPI00169276.2	-	Trypsinogen C	0.00
103	IPI00011694.1	PRSS1	Trypsin-1 precursor	0.00
104	IPI00829653.1	-	Uncharacterized protein ENSP00000374812	4.32
104	IPI00784430.3	IGKV3D-11	Similar to Ig kappa chain V-III region VG precursor	0.00
104	IPI00816799.1	-	Rheumatoid factor D5 light chain (Fragment)	0.00
105	IPI00003590.2	QSOX1	Isoform 1 of Sulfhydryl oxidase 1 precursor	4.15
106	IPI00021440.1	ACTG1;PSPHL	Actin, cytoplasmic 2	4.14
106	IPI00021439.1	ACTB	Actin, cytoplasmic 1	0.00
106	IPI00025416.3	ACTG2	Actin, gamma-enteric smooth muscle	0.00
106	IPI00023006.1	ACTC1	Actin, alpha cardiac muscle 1	0.00
106	IPI00021428.1	ACTA1	Actin, alpha skeletal muscle	0.00
106	IPI00008603.1	ACTA2	Actin, aortic smooth muscle	0.00
106	IPI00878173.1	ACTA1	Actin, alpha 1, skeletal muscle	0.00
106	IPI00514530.5	ACTA1	Uncharacterized protein ACTA1	0.00
106	IPI00414057.3	ACTA1	Actin alpha 1 skeletal muscle protein	0.00
107	IPI00020091.1	ORM2	Alpha-1-acid glycoprotein 2 precursor	4.12
108	IPI00744685.2	BTD	Uncharacterized protein BTD (Fragment)	4.11
108	IPI00218413.2	BTD	biotinidase precursor	0.00
109	IPI00220327.3	KRT1	Keratin, type II cytoskeletal 1	4.10
110	IPI00032293.1	CST3	Cystatin-C precursor	4.08
111	IPI00470652.1	-	Single-chain Fv (Fragment)	4.02
111	IPI00830130.1	-	Rheumatoid factor RF-ET7	0.00
111	IPI00829701.1	-	Uncharacterized protein ENSP00000375014	0.00
112	IPI00032258.4	C4A;C4B	Complement C4-A precursor	4.00
112	IPI00643525.1	C4A	Complement component 4A	0.00
112	IPI00654875.1	C4B	Complement C4-B precursor	0.00
113	IPI00418153.1	IGHM	Putative uncharacterized protein DKFZp686I15212	4.00
113	IPI00472345.1	IGHG3	IGHG3 protein	0.06
113	IPI00448938.1	IGHG1	IGHG1 protein	0.01
113	IPI00168728.1	IGHM	FLJ00385 protein (Fragment)	0.01
113	IPI00784894.1	-	Putative uncharacterized protein	0.00
113	IPI00829850.1	IGHG3	Protein	0.00
113	IPI00829940.1	IGHG3	Uncharacterized protein IGHG3 (Fragment)	0.00
113	IPI00829716.1	IGHG3	Uncharacterized protein IGHG3 (Fragment)	0.00
113	IPI00827754.2	IGHG3	C gamma 3	0.00
113	IPI00830033.1	IGHM	Full-length cDNA clone CS0DI019YF20 of Placenta of Homo sapiens (Fragment)	0.00
113	IPI00827627.1	-	Vh1-D-J3-region (Fragment)	0.00
114	IPI00385985.1	-	Ig lambda chain V-III region LOI	4.00
114	IPI00450309.1	IGL@	IGL@ protein	0.12
114	IPI00719452.1	IGL@	IGL@ protein	0.05
114	IPI00555945.1	IGL@	IGL@ protein	0.03
114	IPI00382938.3	IGLV4-3	IGLV4-3 protein	0.02
114	IPI00785050.1	-	Putative uncharacterized protein	0.00
114	IPI00785200.1	-	Putative uncharacterized protein	0.00
114	IPI00880175.1	IGLL1	19 kDa protein	0.00
115	IPI00242956.4	FCGBP	IgGFc-binding protein precursor	4.00
115	IPI00788189.1	FCGBP	similar to Fc fragment of IgG binding protein	0.00
116	IPI00007240.2	F13B	Coagulation factor XIII B chain precursor	4.00
117	IPI00884107.1	HBB	Beta-globin gene from a thalassemia patient	4.00
117	IPI00853641.1	HBE1	Uncharacterized protein HBE1	0.06
117	IPI00217471.3	HBE1	Hemoglobin subunit epsilon	0.06
117	IPI00657911.2	HBG2	Gamma-globin	0.01
117	IPI00816618.1	HBG2	Hemoglobin gamma-G (Fragment)	0.01
117	IPI00554676.2	HBG2;HBG1	Hemoglobin subunit gamma-2	0.01
117	IPI00796636.9	HBB	Mutant beta globin	0.00
117	IPI00654755.3	HBB	Hemoglobin subunit beta	0.00
117	IPI00830113.2	HBB	19 kDa protein	0.00
117	IPI00829896.1	HBD	Hemoglobin Lepore-Baltimore (Fragment)	0.00
117	IPI00791558.1	HBB	Delta-hemoglobin	0.00
117	IPI00657660.1	HBB	Hemoglobin delta-beta fusion protein	0.00
117	IPI00473011.3	HBB;HBD	Hemoglobin subunit delta	0.00
117	IPI00884436.1	-	Similar to Beta-hemoglobin	0.00
117	IPI00815947.1	HBB	Truncated beta-globin (Fragment)	0.00
117	IPI00749035.1	HBG2	Gamma-G globin	0.00
117	IPI00744503.1	HBG1	17 kDa protein	0.00
117	IPI00220706.10	HBG1	Hemoglobin subunit gamma-1	0.00
118	IPI00745872.2	ALB	Isoform 1 of Serum albumin precursor	3.90
118	IPI00216773.4	ALB	ALB protein	0.00
118	IPI00022434.4	ALB	Uncharacterized protein ALB	0.00
118	IPI00878517.1	ALB	56 kDa protein	0.00
118	IPI00384697.2	ALB	Isoform 2 of Serum albumin precursor	0.00
119	IPI00024284.4	HSPG2	Basement membrane-specific heparan sulfate proteoglycan core protein precursor	3.82
120	IPI00025426.2	PZP	Pregnancy zone protein precursor	3.77
120	IPI00748437.2	PZP	Uncharacterized protein PZP	0.00
121	IPI00296534.1	FBLN1	Isoform D of Fibulin-1 precursor	3.53
121	IPI00218803.2	FBLN1	Isoform B of Fibulin-1 precursor	0.00
122	IPI00165972.3	CFD	Complement factor D preproprotein	3.30
123	IPI00008494.4	ICAM1	Intercellular adhesion molecule 1 precursor	3.18
123	IPI00642425.1	ICAM1	Cell surface glycoprotein	0.00
124	IPI00218949.1	CFHR2	Isoform Short of Complement factor H-related protein 2 precursor	3.14
124	IPI00006154.1	CFHR2	Isoform Long of Complement factor H-related protein 2 precursor	0.00
125	IPI00007221.1	SERPINA5	Plasma serine protease inhibitor precursor	3.11
126	IPI00292218.4	MST1	Hepatocyte growth factor-like protein precursor	3.03
126	IPI00384647.1	MST1	Hepatocyte growth factor-like protein homolog	0.04
127	IPI00655927.1	PRG4	Isoform B of Proteoglycan-4 precursor	2.98
127	IPI00024825.2	PRG4	Isoform A of Proteoglycan-4 precursor	0.00
127	IPI00656111.1	PRG4	Isoform E of Proteoglycan-4 precursor	0.00
127	IPI00656092.1	PRG4	Isoform F of Proteoglycan-4 precursor	0.00
127	IPI00655976.1	PRG4	Isoform C of Proteoglycan-4 precursor	0.00
127	IPI00655676.1	PRG4	Isoform D of Proteoglycan-4 precursor	0.00
128	IPI00296176.2	F9	Coagulation factor IX precursor	2.96
128	IPI00816532.1	F9	Coagulation factor IX (Fragment)	0.00
129	IPI00016334.2	MCAM	Isoform 1 of Cell surface glycoprotein MUC18 precursor	2.92
130	IPI00385614.1	-	Ig kappa chain V-I region WAT	2.74
130	IPI00472961.2	IGKC	IGKC protein	0.00
130	IPI00784661.1	-	Putative uncharacterized protein	0.00
130	IPI00807459.1	IGKC	IGKC protein	0.00
130	IPI00003469.1	-	Ig kappa chain V-I region WEA	0.00
130	IPI00827485.1	-	BRE (Fragment)	0.00
130	IPI00387099.1	-	Ig kappa chain V-I region Rei	0.00
130	IPI00387022.1	-	Ig kappa chain V-I region AG	0.00
130	IPI00385556.1	-	Ig kappa chain V-I region Daudi precursor	0.00
130	IPI00387094.1	-	Ig kappa chain V-I region Hau	0.00
130	IPI00854582.1	-	Uncharacterized protein ENSP00000374793	0.00
130	IPI00829980.2	-	Myosin-reactive immunoglobulin light chain variable region (Fragment)	0.00
130	IPI00829804.1	-	13 kDa protein	0.00
130	IPI00024134.1	IGKC	Ig kappa chain V-I region Walker precursor	0.00
130	IPI00830122.1	-	A30	0.00
130	IPI00829699.1	-	V(k)3 sequence of NG9 gene from fetal liver DNA precursor	0.00
130	IPI00743963.1	IGKC	Ig kappa chain V-I region HK101 precursor (Fragment)	0.00
130	IPI00398220.1	-	Myosin-reactive immunoglobulin light chain variable region (Fragment)	0.00
130	IPI00384398.1	-	Myosin-reactive immunoglobulin light chain variable region (Fragment)	0.00
130	IPI00387027.1	-	Ig kappa chain V-I region Gal	0.00
130	IPI00387101.1	-	Ig kappa chain V-I region Scw	0.00
130	IPI00387100.1	-	Ig kappa chain V-I region Roy	0.00
130	IPI00382577.1	-	Kappa 1 light chain variable region (Fragment)	0.00
130	IPI00003111.6	LOC652694	Ig kappa chain V-I region AU	0.00
131	IPI00645363.2	IGHG1	Putative uncharacterized protein DKFZp686P15220	2.70
131	IPI00829601.1	-	Similar to Immunglobulin heavy chain variable region	0.00
131	IPI00163446.3	IGHD	IGHD protein	0.00
131	IPI00854743.1	-	Uncharacterized protein ENSP00000375034	0.00
132	IPI00025204.1	CD5L	CD5 antigen-like precursor	2.69
133	IPI00884176.1	F13A1	coagulation factor XIII A1 subunit precursor	2.61
133	IPI00297550.8	F13A1	Coagulation factor XIII A chain precursor	0.00
134	IPI00878609.1	ITIH4	Protein	2.51
134	IPI00878152.1	ITIH4	71 kDa protein	0.00
135	IPI00456484.3	PDE4DIP	Isoform 3 of Myomegalin	2.40
135	IPI00642902.1	PDE4DIP	Isoform 4 of Myomegalin	0.00
135	IPI00470939.4	PDE4DIP	Isoform 1 of Myomegalin	0.00
135	IPI00376888.8	PDE4DIP	Isoform 9 of Myomegalin	0.00
135	IPI00401276.6	PDE4DIP	Isoform 7 of Myomegalin	0.00
135	IPI00643207.1	PDE4DIP	Isoform 6 of Myomegalin	0.00
135	IPI00337544.7	PDE4DIP	Isoform 2 of Myomegalin	0.00
135	IPI00788118.1	LOC727942	similar to phosphodiesterase 4D interacting protein isoform 2	0.00
136	IPI00853068.1	HBA2;HBA1	Alpha 2 globin variant (Fragment)	2.40
136	IPI00410714.5	HBA2;HBA1	Hemoglobin subunit alpha	0.00
137	IPI00844400.1	C1QA	23 kDa protein	2.38
137	IPI00022392.1	C1QA	Complement C1q subcomponent subunit A precursor	0.00
138	IPI00219583.1	SHBG	Isoform 2 of Sex hormone-binding globulin precursor	2.38
138	IPI00023019.1	SHBG	Isoform 1 of Sex hormone-binding globulin precursor	0.00
139	IPI00022937.4	F5	Coagulation factor V	2.26
139	IPI00478809.3	F5	Coagulation factor V precursor	0.00
140	IPI00644296.1	TNXB	Tenascin XB	2.25
140	IPI00025276.1	TNXB	Isoform XB of Tenascin-X precursor	0.05
140	IPI00743248.5	TNXB	DJ34F7.1.1	0.02
141	IPI00073777.1	PLXDC2	Isoform 2 of Plexin domain-containing protein 2 precursor	2.11
141	IPI00044369.2	PLXDC2	Isoform 1 of Plexin domain-containing protein 2 precursor	0.00
142	IPI00290078.5	KRT4	keratin 4	2.10
142	IPI00300725.7	KRT6A	Keratin, type II cytoskeletal 6A	0.05
142	IPI00299145.9	KRT6C	Keratin, type II cytoskeletal 6C	0.05
142	IPI00293665.8	KRT6B	Keratin, type II cytoskeletal 6B	0.05
142	IPI00797452.1	KRT4	33 kDa protein	0.00
142	IPI00021304.1	KRT2	Keratin, type II cytoskeletal 2 epidermal	0.00
142	IPI00796330.1	KRT6A	18 kDa protein	0.00
143	IPI00796246.1	LGALS3BP	22 kDa protein	2.09
143	IPI00023673.1	LGALS3BP	Galectin-3-binding protein precursor	0.00
143	IPI00794873.1	LGALS3BP	16 kDa protein	0.00
144	IPI00003470.1	-	Ig kappa chain V-I region Wes	2.07
144	IPI00430847.1	IGKC	IGKC protein	0.00
144	IPI00829650.1	-	Similar to Ig kappa chain V-I region HK101 precursor	0.00
145	IPI00796435.1	CA1	22 kDa protein	2.05
145	IPI00215983.3	CA1	Carbonic anhydrase 1	0.00
146	IPI00479471.2	SPATA13	Spermatogenesis associated 13	2.04
146	IPI00043546.5	SPATA13	Spermatogenesis-associated protein 13	0.00
147	IPI00828192.1	CD44	Isoform 17 of CD44 antigen precursor	2.04
147	IPI00828117.1	CD44	Isoform 5 of CD44 antigen precursor	0.00
147	IPI00828064.1	CD44	Isoform 6 of CD44 antigen precursor	0.00
147	IPI00828056.1	CD44	Isoform 16 of CD44 antigen precursor	0.00
147	IPI00827658.1	CD44	Isoform 7 of CD44 antigen precursor	0.00
147	IPI00827650.1	CD44	Isoform 3 of CD44 antigen precursor	0.00
147	IPI00827555.1	CD44	Isoform 9 of CD44 antigen precursor	0.00
147	IPI00418465.4	CD44	Isoform 4 of CD44 antigen precursor	0.00
147	IPI00305064.1	CD44	Isoform CD44 of CD44 antigen precursor	0.00
147	IPI00827795.1	CD44	Isoform 8 of CD44 antigen precursor	0.00
147	IPI00827893.1	CD44	Isoform 11 of CD44 antigen precursor	0.00
147	IPI00419219.3	CD44	Isoform 10 of CD44 antigen precursor	0.00
147	IPI00828108.1	CD44	Isoform 15 of CD44 antigen precursor	0.00
147	IPI00827982.1	CD44	Isoform 13 of CD44 antigen precursor	0.00
147	IPI00827937.1	CD44	Isoform 14 of CD44 antigen precursor	0.00
147	IPI00798069.1	CD44	CD44 molecule	0.00
147	IPI00297160.4	CD44	Isoform 12 of CD44 antigen precursor	0.00
148	IPI00399007.5	IGHG2	Putative uncharacterized protein DKFZp686I04196 (Fragment)	2.03
148	IPI00829767.1	IGHG2	Uncharacterized protein IGHG2 (Fragment)	0.01
148	IPI00784942.1	-	Putative uncharacterized protein DKFZp686E23209	0.00
148	IPI00426051.3	-	Putative uncharacterized protein DKFZp686C15213	0.00
148	IPI00784807.1	-	Putative uncharacterized protein	0.00
149	IPI00004273.6	RBM25	RNA binding motif protein 25	2.03
150	IPI00021817.1	PROC	Vitamin K-dependent protein C precursor	2.02
151	IPI00643034.2	PLTP	Isoform 1 of Phospholipid transfer protein precursor	2.02
151	IPI00022733.3	PLTP	45 kDa protein	0.00
151	IPI00217778.1	PLTP	Isoform 2 of Phospholipid transfer protein precursor	0.00
152	IPI00855835.1	-	Insulin-like growth factor binding protein 3 isoform b	2.01
152	IPI00556155.2	IGFBP3	insulin-like growth factor binding protein 3 isoform a precursor	0.00
152	IPI00018305.4	IGFBP3	Insulin-like growth factor-binding protein 3 precursor	0.00
